universe,cell,hold_calmar,hold_cagr,hold_t,full_calmar,full_cagr,full_maxdd,n,avg_ret,win,avg_hold,ctrl_hold_p99,ctrl_full_p99,hold_pctile,full_pctile
U399,rs_top3|k2.0|mh-,1.888,4.1,5.28,0.423,2.61,-6.16,1264,5.17,66.6,43.4,2.006,0.426,98.0,98.8
U399,rs_top3|k2.0|mh60,1.783,3.88,4.34,0.378,2.19,-5.79,1291,4.12,62.9,36.6,,,,
U399,rs_top3|k1.5|mh-,1.205,4.22,6.37,0.221,1.8,-8.15,2191,2.36,61.3,29.7,,,,
U399,rs_top3|k1.5|mh60,1.268,4.47,5.46,0.204,1.63,-8.0,2218,1.96,60.6,28.1,,,,
U399,rs_top3|kqd|mh-,1.075,4.1,10.5,0.272,2.5,-9.22,2725,2.73,70.6,28.0,,,,
U399,rs_top3|kqd|mh60,1.092,4.04,5.98,0.237,2.11,-8.92,2772,2.08,69.9,25.7,,,,
U399,ma55up|k2.0|mh-,0.846,0.61,3.33,-0.019,-0.05,-2.54,395,0.82,57.0,45.3,,,,
U399,ma55up|k2.0|mh60,0.771,0.58,2.46,-0.022,-0.06,-2.48,402,0.11,52.2,36.9,,,,
U399,ma55up|k1.5|mh-,1.015,1.98,4.79,0.07,0.34,-4.8,1432,1.0,57.5,30.5,,,,
U399,ma55up|k1.5|mh60,1.037,2.03,3.8,0.058,0.27,-4.7,1441,0.69,57.0,28.5,,,,
U399,ma55up|kqd|mh-,0.849,1.15,8.1,0.342,0.56,-1.63,679,2.27,71.9,26.8,,,,
U399,ma55up|kqd|mh60,0.901,1.18,3.71,0.204,0.41,-2.0,689,1.29,70.8,24.8,,,,
UAI,rs_top3|k2.0|mh-,1.933,9.9,5.69,0.546,4.95,-9.06,285,7.91,67.7,39.5,,,,
UAI,rs_top3|k2.0|mh60,1.818,9.48,5.6,0.467,4.12,-8.84,287,6.63,65.5,35.1,,,,
UAI,rs_top3|k1.5|mh-,1.704,12.88,5.82,0.42,5.13,-12.21,506,4.8,66.8,28.3,,,,
UAI,rs_top3|k1.5|mh60,1.664,12.45,5.78,0.421,4.88,-11.6,509,4.63,66.6,27.0,,,,
UAI,rs_top3|kqd|mh-,1.263,9.65,7.63,0.292,4.51,-15.44,587,3.48,71.4,27.3,,,,
UAI,rs_top3|kqd|mh60,1.204,9.18,7.34,0.261,3.81,-14.59,592,3.01,71.3,24.9,,,,
UAI,ma55up|k2.0|mh-,2.446,4.96,4.74,0.886,2.41,-2.72,150,6.73,67.3,36.1,,,,
UAI,ma55up|k2.0|mh60,2.55,4.81,4.7,0.634,2.09,-3.29,150,5.63,66.0,32.8,,,,
UAI,ma55up|k1.5|mh-,1.749,10.58,4.93,0.52,4.51,-8.68,458,4.15,66.6,27.7,,,,
UAI,ma55up|k1.5|mh60,1.721,10.46,4.89,0.516,4.33,-8.39,458,3.94,66.6,26.6,,,,
UAI,ma55up|kqd|mh-,1.341,2.99,3.46,0.627,1.9,-3.02,207,4.34,77.8,22.2,,,,
UAI,ma55up|kqd|mh60,1.479,3.21,2.97,0.565,1.82,-3.21,209,3.76,77.0,20.9,,,,
