event,confirm,exit,min_hold,filter,n_trades,n_weeks,t_stat,win_rate,cagr,maxdd,calmar,by_year
tm21_15,none,guanbian_dn,0,none,2364,182,0.4,40.0,3.29,-3.73,0.882,"{""2021"": 2.8, ""2022"": 2.3, ""2023"": 0.7, ""2024"": 6.8}"
tm21_15,none,guanbian_dn,0,mkt_ma60,758,73,0.91,45.9,2.14,-2.52,0.85,"{""2021"": 1.7, ""2022"": -0.5, ""2023"": 0.3, ""2024"": 6.6}"
tm21_15,none,guanbian_dn,0,mkt_ma20,871,95,0.09,41.4,1.69,-3.19,0.532,"{""2021"": 0.6, ""2022"": -0.2, ""2023"": -0.5, ""2024"": 6.9}"
tm21_15,none,guanbian_dn,10,none,2192,180,0.49,51.6,4.67,-6.86,0.68,"{""2021"": 7.2, ""2022"": 4.1, ""2023"": 1.4, ""2024"": 5.2}"
tm21_15,none,guanbian_dn,10,mkt_ma60,732,71,0.7,61.9,3.06,-2.57,1.189,"{""2021"": 5.0, ""2022"": -0.6, ""2023"": 0.4, ""2024"": 6.8}"
tm21_15,none,guanbian_dn,10,mkt_ma20,813,92,-0.37,53.4,1.9,-6.02,0.316,"{""2021"": 3.1, ""2022"": -0.5, ""2023"": -0.4, ""2024"": 5.2}"
tm21_15,none,guanbian_dn,20,none,2104,177,1.47,56.3,5.6,-8.3,0.674,"{""2021"": 8.5, ""2022"": 6.5, ""2023"": 0.7, ""2024"": 5.7}"
tm21_15,none,guanbian_dn,20,mkt_ma60,716,67,1.12,64.0,2.96,-2.57,1.151,"{""2021"": 5.5, ""2022"": -0.6, ""2023"": 0.2, ""2024"": 6.1}"
tm21_15,none,trend_dn,20,mkt_ma60,0,0,0.0,0.0,4.75,-26.66,0.178,"{""2021"": 23.7, ""2022"": -8.5, ""2023"": 2.0, ""2024"": 0.5}"
tm21_15,none,trend_dn,20,mkt_ma20,0,0,0.0,0.0,4.7,-27.65,0.17,"{""2021"": 24.4, ""2022"": -8.6, ""2023"": 2.1, ""2024"": -0.3}"
tm21_15,none,v1_tp_or_td,0,none,2364,182,0.46,40.1,3.28,-3.68,0.891,"{""2021"": 2.8, ""2022"": 2.2, ""2023"": 0.7, ""2024"": 6.9}"
tm21_15,none,v1_tp_or_td,0,mkt_ma60,758,73,0.92,45.8,2.15,-2.52,0.853,"{""2021"": 1.8, ""2022"": -0.5, ""2023"": 0.3, ""2024"": 6.6}"
tm21_15,none,v1_tp_or_td,0,mkt_ma20,871,95,0.14,41.6,1.7,-3.19,0.535,"{""2021"": 0.6, ""2022"": -0.3, ""2023"": -0.5, ""2024"": 6.9}"
tm21_15,none,v1_tp_or_td,10,none,2192,180,0.54,51.6,4.67,-6.82,0.684,"{""2021"": 7.1, ""2022"": 4.1, ""2023"": 1.4, ""2024"": 5.2}"
tm21_15,none,v1_tp_or_td,10,mkt_ma60,732,71,0.71,61.9,3.07,-2.57,1.194,"{""2021"": 5.0, ""2022"": -0.6, ""2023"": 0.4, ""2024"": 6.8}"
