code,name,segment,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason
300308,中际旭创,光模块,2024-08-16,2024-08-27,118.06,111.35,-5.68,7,signal
300308,中际旭创,光模块,2024-09-10,2024-10-17,104.53,148.6,42.16,20,signal
300308,中际旭创,光模块,2024-12-06,2024-12-11,129.61,120.1,-7.34,3,signal
300308,中际旭创,光模块,2024-12-19,2025-01-02,125.14,120.21,-3.94,9,signal
300308,中际旭创,光模块,2025-01-17,2025-02-05,115.0,96.35,-16.22,7,signal
300308,中际旭创,光模块,2025-04-11,2025-05-23,76.47,89.97,17.65,27,signal
002916,深南电路,PCB,2024-09-18,2024-09-23,70.78,63.98,-9.62,3,signal
002916,深南电路,PCB,2024-12-12,2025-01-03,73.0,87.6,20.0,15,signal
002916,深南电路,PCB,2025-04-16,2025-05-21,77.94,82.01,5.22,22,signal
002916,深南电路,PCB,2026-04-09,2026-05-15,240.6,320.85,33.35,23,signal
300394,天孚通信,光模块,2024-09-10,2024-10-17,36.99,47.94,29.6,20,signal
300394,天孚通信,光模块,2024-12-26,2024-12-31,53.98,45.5,-15.72,3,signal
300394,天孚通信,光模块,2025-04-11,2025-04-16,33.11,32.44,-2.0,3,signal
300394,天孚通信,光模块,2025-11-28,2025-12-24,112.36,157.52,40.2,18,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2024-08-30,2024-09-18,56.27,52.13,-7.36,11,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2025-02-10,2025-02-18,93.58,88.52,-5.41,6,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2025-04-09,2025-04-25,72.89,69.04,-5.28,12,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2025-10-27,2025-11-05,76.3,72.15,-5.44,7,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2025-11-19,2025-12-22,72.88,75.18,3.16,23,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2026-02-27,2026-03-05,72.04,67.28,-6.61,4,signal
300474,景嘉微,算力芯片/GPU/CPU设计,2026-04-08,2026-05-15,59.15,64.64,9.28,24,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2024-09-19,2024-10-17,85.58,102.75,20.06,15,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2024-12-12,2025-01-03,99.24,97.78,-1.47,15,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2025-07-21,2025-07-31,124.38,120.56,-3.07,8,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2025-11-27,2026-01-14,119.05,127.61,7.19,32,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2026-02-26,2026-03-04,122.5,113.42,-7.41,4,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2026-03-12,2026-03-17,112.72,108.82,-3.46,3,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2026-03-26,2026-03-31,99.9,94.86,-5.05,3,signal
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2026-04-09,2026-05-29,94.14,94.9,0.81,33,signal
603986,兆易创新,存储芯片,2024-08-12,2024-08-22,77.1,72.56,-5.89,8,signal
603986,兆易创新,存储芯片,2024-09-11,2024-09-18,66.55,63.69,-4.3,3,signal
603986,兆易创新,存储芯片,2024-12-13,2025-01-02,91.89,101.9,10.89,13,signal
603986,兆易创新,存储芯片,2025-04-10,2025-05-16,106.81,120.94,13.23,23,signal
603986,兆易创新,存储芯片,2026-04-13,2026-06-01,261.39,468.0,79.04,32,signal
300223,北京君正,存储芯片,2024-08-29,2024-10-17,45.26,63.76,40.87,28,signal
300223,北京君正,存储芯片,2025-01-16,2025-02-19,63.73,74.31,16.6,18,signal
300223,北京君正,存储芯片,2025-04-10,2025-05-16,64.78,66.29,2.33,23,signal
300223,北京君正,存储芯片,2026-04-10,2026-05-18,111.41,136.35,22.39,23,signal
301308,江波龙,存储芯片,2024-08-15,2024-09-09,73.46,64.56,-12.12,17,signal
301308,江波龙,存储芯片,2024-09-19,2024-10-17,63.52,82.65,30.12,15,signal
301308,江波龙,存储芯片,2025-01-21,2025-03-13,82.21,101.23,23.14,31,signal
001309,德明利,存储芯片,2024-08-13,2024-09-05,50.72,47.74,-5.87,17,signal
001309,德明利,存储芯片,2024-09-20,2024-10-30,44.8,59.49,32.78,23,signal
001309,德明利,存储芯片,2025-12-25,2026-01-14,216.87,238.58,10.01,12,signal
300475,香农芯创,HBM,2024-07-31,2024-08-05,28.94,25.74,-11.06,3,signal
300475,香农芯创,HBM,2024-08-19,2024-09-09,25.8,24.09,-6.63,15,signal
300475,香农芯创,HBM,2024-09-24,2024-10-17,24.19,30.49,26.05,12,signal
300475,香农芯创,HBM,2025-01-14,2025-02-19,27.99,29.49,5.36,20,signal
300475,香农芯创,HBM,2026-02-27,2026-03-24,148.98,143.79,-3.48,17,signal
002409,雅克科技,HBM,2024-08-30,2024-09-09,54.56,48.77,-10.61,6,signal
002409,雅克科技,HBM,2024-09-24,2024-10-17,48.8,57.28,17.38,12,signal
002409,雅克科技,HBM,2024-12-27,2025-01-02,59.83,54.74,-8.51,3,signal
002409,雅克科技,HBM,2025-06-24,2025-07-07,52.68,52.18,-0.95,9,signal
002409,雅克科技,HBM,2025-12-04,2026-01-26,70.09,91.7,30.83,35,signal
002409,雅克科技,HBM,2026-04-09,2026-04-29,84.14,82.98,-1.38,14,signal
600584,长电科技,先进封装/封测,2024-09-24,2024-10-24,28.75,38.14,32.66,17,signal
600584,长电科技,先进封装/封测,2024-12-23,2025-01-03,38.78,36.11,-6.88,8,signal
