strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
control_tianma_fixed20,先进封装/封测,24,24,54,85.18,24,10,18.39,-6.09,2.99,-12.38
control_tianma_fixed20,存储芯片,24,16,25,88.0,16,4,24.36,-5.2,2.91,-137.74
candidate_tianma_hold20_confirm4,先进封装/封测,24,24,54,85.18,22,17,39.26,-15.63,2.74,9.98
candidate_low25_hold20_confirm4,先进封装/封测,24,24,59,81.36,22,17,36.2,-16.42,2.69,10.72
control_tianma_fixed20,覆铜板CCL,18,12,15,93.33,12,0,12.36,-4.02,2.62,-148.65
candidate_low25_hold20_confirm4,覆铜板CCL,18,14,20,95.0,14,1,20.95,-9.85,2.09,-91.89
candidate_low25_hold20_confirm4,CPO,12,12,21,61.9,10,2,39.51,-21.75,1.79,-56.96
candidate_tianma_hold20_confirm4,CPO,12,12,17,76.47,10,2,39.51,-21.75,1.79,-56.48
control_tianma_fixed20,光模块,30,26,43,72.09,24,2,18.52,-12.12,1.57,-237.1
candidate_low25_hold20_confirm4,大模型/AI应用/AIGC,24,24,64,76.56,22,18,24.31,-17.56,1.5,14.84
candidate_low25_hold20_confirm4,液冷/散热,24,24,38,78.95,24,1,16.54,-13.35,1.3,-98.25
candidate_low25_hold20_confirm4,HBM,12,11,25,68.0,10,2,20.4,-17.82,1.27,-106.33
control_tianma_fixed20,大模型/AI应用/AIGC,24,24,50,72.0,20,17,11.93,-16.37,1.21,10.47
candidate_tianma_hold20_confirm4,光模块,30,26,41,68.29,23,3,15.67,-16.12,1.12,-224.61
candidate_tianma_hold20_confirm4,大模型/AI应用/AIGC,24,24,50,80.0,22,18,20.41,-16.8,1.11,10.55
candidate_low25_hold20_confirm4,光模块,30,27,50,56.0,21,2,16.98,-17.06,1.11,-233.78
candidate_low25_hold20_confirm4,存储芯片,24,19,36,75.0,18,5,14.11,-11.93,1.04,-139.77
candidate_tianma_hold20_confirm4,存储芯片,24,16,24,83.33,15,5,14.11,-9.93,1.04,-139.98
candidate_low25_hold20_confirm4,交换机/网络设备,24,24,44,79.55,21,7,15.46,-13.2,1.01,-29.18
candidate_low25_hold20_confirm4,半导体设备,6,6,8,100.0,6,1,15.52,-14.12,1.0,-47.99
control_tianma_fixed20,AIPC/端侧AI,12,12,22,86.36,9,8,7.03,-7.8,0.92,5.62
candidate_tianma_hold20_confirm4,HBM,12,10,17,70.59,8,3,6.67,-15.71,0.86,-96.5
control_tianma_fixed20,HBM,12,10,17,70.59,9,2,5.22,-8.5,0.85,-134.25
candidate_tianma_hold20_confirm4,液冷/散热,24,22,31,74.19,23,2,11.42,-14.11,0.83,-98.25
