strategy,window,regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,down_negative,300308,中际旭创,光模块,4,25.0,-18.24,-58.22,-0.31,-3.22,34.0,-0.32,-61.89,-17.92
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,down_negative,300308,中际旭创,光模块,4,50.0,14.36,-36.87,0.39,5.0,29.8,-0.32,-61.89,14.68
control_tianma_fixed20,2024-06-12_2025-06-23,down_negative,300308,中际旭创,光模块,4,25.0,4.19,-30.07,0.14,2.16,20.0,-0.32,-61.89,4.51
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,300308,中际旭创,光模块,3,0.0,-34.89,-51.63,-0.68,-12.93,30.7,187.88,-54.6,-222.77
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,300308,中际旭创,光模块,3,33.33,-8.93,-26.92,-0.33,-1.96,25.0,187.88,-54.6,-196.81
control_tianma_fixed20,2024-09-04_2025-09-15,bull_80pct_plus,300308,中际旭创,光模块,3,33.33,15.91,-26.01,0.61,6.18,20.0,187.88,-54.6,-171.97
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,bull_80pct_plus,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,bull_80pct_plus,300308,中际旭创,光模块,1,100.0,15.12,-8.65,1.75,15.42,29.0,335.66,-44.53,-320.54
control_tianma_fixed20,2024-12-06_2025-12-16,bull_80pct_plus,300308,中际旭创,光模块,1,100.0,25.41,-4.93,5.15,25.74,20.0,335.66,-44.53,-310.25
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
control_tianma_fixed20,2025-03-11_2026-03-20,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
control_tianma_fixed20,2025-06-10_2026-06-18,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-21.31,-422.82
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-21.31,-422.82
control_tianma_fixed20,2025-06-24_2026-07-03,bull_80pct_plus,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-21.31,-422.82
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,002916,深南电路,PCB,3,66.67,24.6,-20.4,1.21,8.5,29.7,17.57,-35.98,7.03
