period,strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,3,0,61,61,264,73.86,57,22,93.86,-27.68,3.75,-63.19
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,4,0,61,61,260,74.62,57,27,95.27,-28.99,3.64,-18.04
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,5,0,61,61,351,55.27,58,25,100.69,-30.0,3.59,-9.25
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,5,0,61,61,253,73.91,57,25,97.51,-30.54,3.59,-7.92
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,2,0,61,61,269,72.86,58,21,95.56,-26.02,3.59,-65.28
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,2,0,61,61,311,63.67,58,19,90.86,-25.92,3.59,-86.05
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,5,0,61,61,327,59.33,58,25,100.34,-30.24,3.53,-9.25
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,5,0,61,61,276,71.38,57,21,93.0,-28.04,3.53,-60.93
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,5,0,61,61,276,71.74,57,21,87.03,-28.04,3.53,-60.93
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,3,0,61,61,303,65.02,57,21,91.33,-27.44,3.48,-62.49
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,5,0,61,61,289,65.05,57,24,96.54,-30.54,3.43,-17.97
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,2,0,61,61,285,68.07,58,21,88.59,-25.92,3.41,-94.57
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,2,0,61,61,285,68.07,58,21,88.59,-25.92,3.41,-94.57
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,3,0,61,61,352,56.82,58,22,86.47,-26.88,3.37,-51.26
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,5,0,61,61,310,62.58,58,25,96.54,-30.54,3.29,-13.83
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,3,0,61,61,279,69.18,56,21,87.77,-26.94,3.27,-71.36
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,3,0,61,61,279,68.82,56,21,87.77,-26.96,3.27,-71.36
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,1,0,61,61,274,71.53,58,20,79.26,-25.55,3.27,-72.75
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,4,0,61,61,277,71.12,56,21,93.38,-27.26,3.26,-64.28
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,4,0,61,61,277,70.76,56,21,93.38,-27.13,3.26,-64.28
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,4,0,61,61,343,58.6,58,27,90.94,-28.38,3.26,-21.65
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,4,0,61,61,320,61.88,58,27,85.85,-28.99,3.22,-21.65
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,4,0,61,61,298,64.77,57,26,85.85,-28.99,3.21,-18.04
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,1,0,61,61,286,68.53,58,19,79.26,-26.11,3.17,-99.45
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,3,0,61,61,325,61.85,58,23,86.47,-27.44,3.16,-64.31
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,3,0,61,61,276,60.87,56,22,81.31,-24.91,3.16,-59.95
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,5,0,61,61,254,63.78,57,25,89.52,-28.08,3.12,-53.9
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,5,0,61,61,215,75.35,56,28,89.52,-28.04,3.1,-24.86
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,5,0,61,61,345,58.84,58,23,77.47,-27.05,3.1,-51.03
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,5,0,61,61,346,58.67,58,23,77.47,-27.05,3.1,-51.03
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,5,0,61,61,270,59.26,57,24,86.58,-28.68,3.08,-55.16
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,3,0,61,61,388,51.8,57,22,83.16,-27.45,3.08,-64.12
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,5,0,61,61,227,69.6,54,26,82.09,-28.68,3.08,-32.72
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,5,0,61,61,241,67.22,57,26,80.49,-28.78,3.06,-53.9
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,4,0,61,61,374,53.74,58,28,85.85,-28.38,2.96,-22.84
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,3,0,61,61,255,65.49,56,22,71.94,-25.42,2.96,-65.63
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,2,0,61,61,281,59.79,56,20,63.48,-23.36,2.95,-115.4
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,3,0,61,61,226,73.45,56,22,78.66,-25.19,2.92,-60.87
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,4,0,61,61,290,56.9,56,26,81.61,-26.19,2.91,-62.28
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,2,0,61,61,336,61.01,57,18,73.97,-27.21,2.91,-107.31
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,4,0,61,61,268,61.94,56,26,82.52,-26.19,2.9,-61.53
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,5,0,61,61,313,65.5,56,18,63.01,-27.21,2.89,-119.87
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,5,0,61,61,312,65.71,57,18,62.93,-27.21,2.89,-118.66
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,2,0,61,61,337,60.83,57,18,73.97,-27.21,2.87,-107.31
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,3,0,61,61,239,67.36,53,21,71.94,-25.42,2.87,-62.91
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,4,0,61,61,295,64.41,54,17,70.89,-27.71,2.85,-95.15
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,4,0,61,61,250,65.2,56,25,84.66,-28.47,2.83,-59.02
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,4,0,61,61,235,67.66,53,24,79.49,-28.88,2.83,-59.02
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,5,0,61,61,292,64.38,54,18,83.06,-27.71,2.82,-94.31
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,2,0,61,61,310,53.87,54,20,56.94,-24.32,2.82,-115.4
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,2,0,61,61,232,72.41,55,21,66.54,-23.47,2.81,-126.15
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,4,0,61,61,221,74.21,56,26,88.23,-26.19,2.8,-59.02
full,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,3,0,61,61,299,56.19,56,22,62.55,-25.0,2.79,-61.18
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,5,0,61,61,364,56.87,55,16,61.42,-24.82,2.79,-140.1
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,5,0,61,61,364,56.87,55,16,61.42,-24.82,2.79,-143.33
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,2,0,61,61,357,56.02,57,16,74.63,-25.6,2.78,-95.55
full,tianma__shou_gone,tianma,shou_gone,30,4,0,61,61,228,73.68,55,23,73.47,-25.19,2.78,-65.01
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,5,0,61,61,273,71.43,57,20,66.69,-28.04,2.77,-100.52
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,5,0,61,61,273,71.43,57,20,66.69,-28.04,2.77,-100.52
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,2,0,61,61,358,55.87,57,16,74.63,-25.6,2.75,-95.55
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,4,0,61,61,228,73.25,55,23,73.47,-25.19,2.75,-65.01
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,5,0,61,61,234,69.23,53,21,67.97,-24.1,2.75,-73.87
full,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,1,0,61,61,372,54.3,58,18,61.57,-27.2,2.73,-93.21
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,3,0,61,61,351,56.98,58,21,74.18,-26.12,2.72,-74.13
