strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
v1_tianma_exit,300308,中际旭创,光模块,6,33.33,15.82,-40.96,0.39,4.44,12.2,787.14,-771.32
tianma_hold_10,300308,中际旭创,光模块,5,40.0,-3.16,-25.94,-0.12,0.06,10.0,787.14,-790.3
tianma_hold_20,300308,中际旭创,光模块,4,25.0,4.19,-30.07,0.14,2.16,20.0,787.14,-782.95
macd_zero_hold_10,300308,中际旭创,光模块,17,47.06,21.47,-36.96,0.58,2.53,10.0,787.14,-765.67
kdj_any_hold_10,300308,中际旭创,光模块,19,42.11,-32.0,-43.99,-0.73,-1.13,10.0,787.14,-819.14
random_same_freq_hold_10,300308,中际旭创,光模块,5,40.0,13.27,-16.33,0.81,3.15,10.0,787.14,-773.87
v1_tianma_exit,002916,深南电路,PCB,4,75.0,50.61,-9.97,5.08,12.24,15.8,459.92,-409.31
tianma_hold_10,002916,深南电路,PCB,4,100.0,87.99,-9.74,9.04,17.76,10.0,459.92,-371.93
tianma_hold_20,002916,深南电路,PCB,4,100.0,102.46,-16.63,6.16,20.18,20.0,459.92,-357.46
macd_zero_hold_10,002916,深南电路,PCB,17,58.82,31.37,-30.84,1.02,2.59,10.0,459.92,-428.55
kdj_any_hold_10,002916,深南电路,PCB,19,57.89,86.89,-21.47,4.05,4.15,10.0,459.92,-373.03
random_same_freq_hold_10,002916,深南电路,PCB,4,50.0,-7.38,-25.09,-0.29,-1.01,10.0,459.92,-467.3
v1_tianma_exit,300394,天孚通信,光模块,4,50.0,48.51,-34.69,1.4,13.02,11.0,420.78,-372.27
tianma_hold_10,300394,天孚通信,光模块,4,75.0,20.68,-21.81,0.95,6.84,10.0,420.78,-400.1
tianma_hold_20,300394,天孚通信,光模块,4,100.0,107.51,-37.02,2.9,20.95,20.0,420.78,-313.27
macd_zero_hold_10,300394,天孚通信,光模块,13,61.54,29.32,-43.27,0.68,3.62,10.0,420.78,-391.46
kdj_any_hold_10,300394,天孚通信,光模块,15,53.33,-12.72,-47.01,-0.27,0.73,10.0,420.78,-433.5
random_same_freq_hold_10,300394,天孚通信,光模块,5,40.0,-23.96,-31.02,-0.77,-4.57,10.0,420.78,-444.74
v1_tianma_exit,300474,景嘉微,算力芯片/GPU/CPU设计,7,28.57,-16.47,-26.38,-0.62,-2.52,12.4,-10.61,-5.86
tianma_hold_10,300474,景嘉微,算力芯片/GPU/CPU设计,8,50.0,-17.64,-23.67,-0.75,-2.03,10.0,-10.61,-7.03
tianma_hold_20,300474,景嘉微,算力芯片/GPU/CPU设计,6,33.33,28.49,-37.0,0.77,6.89,20.0,-10.61,39.1
macd_zero_hold_10,300474,景嘉微,算力芯片/GPU/CPU设计,12,33.33,-41.25,-47.02,-0.88,-4.16,10.0,-10.61,-30.64
kdj_any_hold_10,300474,景嘉微,算力芯片/GPU/CPU设计,17,35.29,-45.41,-50.88,-0.89,-3.14,10.0,-10.61,-34.8
random_same_freq_hold_10,300474,景嘉微,算力芯片/GPU/CPU设计,8,37.5,-15.46,-32.93,-0.47,-1.34,10.0,-10.61,-4.85
v1_tianma_exit,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,8,37.5,16.53,-27.65,0.6,0.95,14.1,2.4,14.13
tianma_hold_10,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,50.0,27.99,-22.5,1.24,3.2,10.0,2.4,25.59
tianma_hold_20,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,50.0,31.91,-23.03,1.39,3.76,20.0,2.4,29.51
macd_zero_hold_10,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,12,50.0,-10.8,-24.99,-0.43,-1.48,10.0,2.4,-13.2
kdj_any_hold_10,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,14,42.86,15.65,-21.25,0.74,0.94,10.0,2.4,13.25
random_same_freq_hold_10,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,8,37.5,-9.42,-20.32,-0.46,-0.75,10.0,2.4,-11.82
v1_tianma_exit,603986,兆易创新,存储芯片,5,60.0,99.87,-11.59,8.61,18.59,15.8,727.3,-627.43
tianma_hold_10,603986,兆易创新,存储芯片,5,80.0,45.52,-14.26,3.19,8.6,10.0,727.3,-681.78
tianma_hold_20,603986,兆易创新,存储芯片,5,80.0,132.67,-15.61,8.5,20.35,20.0,727.3,-594.63
macd_zero_hold_10,603986,兆易创新,存储芯片,13,46.15,13.72,-36.66,0.37,2.12,10.0,727.3,-713.58
kdj_any_hold_10,603986,兆易创新,存储芯片,17,47.06,35.05,-46.08,0.76,3.01,10.0,727.3,-692.25
random_same_freq_hold_10,603986,兆易创新,存储芯片,6,66.67,84.66,-16.89,5.01,13.36,10.0,727.3,-642.64
