code,name,segment,policy,date,close,action,reason,current_state,macd_state,cxhzb_above_gzz,observation_signal_today,entry_signal_today,base_exit_signal_today,policy_exit_signal_today,basket_bull,basket_down
300308,中际旭创,光模块,,2026-07-03,1116.0,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
002916,深南电路,PCB,,2026-07-03,454.48,ignore,segment_blocked_or_unvalidated,止盈,yellow_up,1,0,0,1,1,1,0
300394,天孚通信,光模块,,2026-07-03,250.1,ignore,segment_blocked_or_unvalidated,止盈,green_dn,0,0,0,1,1,1,0
300474,景嘉微,算力芯片/GPU/CPU设计,,2026-07-03,57.23,ignore,segment_blocked_or_unvalidated,持股,purple_dn,0,0,0,0,0,1,0
603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,,2026-07-03,102.3,ignore,segment_blocked_or_unvalidated,持股,red_up,0,0,0,0,0,1,0
603986,兆易创新,存储芯片,,2026-07-03,677.77,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
300223,北京君正,存储芯片,,2026-07-03,259.56,ignore,segment_blocked_or_unvalidated,持股,purple_dn,1,0,0,0,0,1,0
301308,江波龙,存储芯片,,2026-07-03,618.02,ignore,segment_blocked_or_unvalidated,止盈,purple_dn,1,0,0,1,1,1,0
001309,德明利,存储芯片,,2026-07-03,881.91,ignore,segment_blocked_or_unvalidated,止盈,purple_dn,1,0,0,1,1,1,0
300475,香农芯创,HBM,adaptive_ma55_no_down,2026-07-03,264.25,watch,validated_segment,止盈,purple_dn,1,0,0,1,0,1,0
002409,雅克科技,HBM,adaptive_ma55_no_down,2026-07-03,199.5,watch,validated_segment,止盈,purple_dn,1,0,0,1,0,1,0
600584,长电科技,先进封装/封测,adaptive_shou_no_down,2026-07-03,90.88,watch,validated_segment,止盈,purple_dn,1,0,0,1,0,1,0
002156,通富微电,先进封装/封测,adaptive_shou_no_down,2026-07-03,64.8,watch,validated_segment,止盈,green_dn,0,0,0,1,0,1,0
002185,华天科技,先进封装/封测,adaptive_shou_no_down,2026-07-03,19.51,watch,validated_segment,止盈,green_dn,1,0,0,1,0,1,0
603005,晶方科技,先进封装/封测,adaptive_shou_no_down,2026-07-03,43.38,watch,validated_segment,止盈,green_dn,1,0,0,1,0,1,0
002371,北方华创,半导体设备,,2026-07-03,816.0,ignore,segment_blocked_or_unvalidated,止盈,purple_dn,1,0,0,1,1,1,0
300054,鼎龙股份,半导体材料,,2026-07-03,89.88,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
300502,新易盛,光模块,,2026-07-03,526.0,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
002281,光迅科技,光模块,,2026-07-03,217.33,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
603083,剑桥科技,光模块,,2026-07-03,209.37,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
300570,太辰光,CPO,bull_delay_ma20,2026-07-03,237.12,watch,validated_segment,止盈,green_dn,1,0,0,1,0,1,0
300757,罗博特科,CPO,bull_delay_ma20,2026-07-03,512.73,exit_condition,bull_delay_ma20_exit_condition,止盈,green_dn,0,0,0,1,1,1,0
002463,沪电股份,PCB,,2026-07-03,135.35,ignore,segment_blocked_or_unvalidated,止盈,green_dn,1,0,0,1,1,1,0
300476,胜宏科技,PCB,,2026-07-03,308.07,ignore,segment_blocked_or_unvalidated,止盈,green_dn,0,0,0,1,1,1,0
001389,广合科技,PCB,,2026-07-03,203.0,ignore,segment_blocked_or_unvalidated,止盈,purple_dn,1,0,0,1,1,1,0
600183,生益科技,覆铜板CCL,base_combo,2026-07-03,160.78,exit_condition,base_combo_exit_condition,止盈,green_dn,1,0,0,1,1,1,0
603186,华正新材,覆铜板CCL,base_combo,2026-07-03,199.99,exit_condition,base_combo_exit_condition,止盈,green_dn,1,0,0,1,1,1,0
002636,金安国纪,覆铜板CCL,base_combo,2026-07-03,106.95,exit_condition,base_combo_exit_condition,止盈,green_dn,1,0,0,1,1,1,0
000938,紫光股份(新华三),交换机/网络设备,bull_delay_ma20,2026-07-03,30.28,watch,validated_segment,持股,red_up,0,0,0,0,0,1,0
301165,锐捷网络,交换机/网络设备,bull_delay_ma20,2026-07-03,94.89,watch,validated_segment,持股,red_up,1,0,0,0,0,1,0
002396,星网锐捷,交换机/网络设备,bull_delay_ma20,2026-07-03,23.4,watch,validated_segment,持股,red_up,0,0,0,0,0,1,0
301191,菲菱科思,交换机/网络设备,bull_delay_ma20,2026-07-03,112.51,watch,validated_segment,持股,purple_dn,1,0,0,0,0,1,0
002130,沃尔核材,高速铜缆/铜连接,,2026-07-03,18.28,ignore,segment_blocked_or_unvalidated,持股,yellow_up,0,0,0,0,0,1,0
300563,神宇股份,高速铜缆/铜连接,,2026-07-03,27.8,ignore,segment_blocked_or_unvalidated,持股,red_up,0,0,0,0,0,1,0
300913,兆龙互连,高速铜缆/铜连接,,2026-07-03,41.49,ignore,segment_blocked_or_unvalidated,止盈,green_dn,0,0,0,1,1,1,0
600577,精达股份,高速铜缆/铜连接,,2026-07-03,9.69,ignore,segment_blocked_or_unvalidated,持股,yellow_up,0,0,0,0,0,1,0
