strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
bull_delay_ma20,CPO,12,12,19,57.89,10,3,86.59,-21.75,3.82,-57.39
bull_no_sell_until_ma20,CPO,12,12,20,60.0,10,3,76.22,-21.75,3.37,-57.89
adaptive_shou_no_down,先进封装/封测,24,24,40,87.5,21,14,42.64,-17.19,3.03,10.18
bull_no_sell_until_ma20,先进封装/封测,24,24,55,80.0,23,16,46.05,-18.52,2.74,18.13
bull_delay_ma20,先进封装/封测,24,24,53,79.25,24,19,46.86,-19.28,2.73,21.16
adaptive_ma20_no_down,先进封装/封测,24,24,37,86.49,21,16,44.87,-17.19,2.73,17.41
no_new_entries_in_down,先进封装/封测,24,24,43,88.37,20,15,31.32,-15.46,2.7,4.45
base_combo,先进封装/封测,24,24,59,81.36,22,17,36.2,-16.42,2.69,10.72
adaptive_ma55_no_down,先进封装/封测,24,24,31,83.87,20,18,47.11,-19.34,2.6,18.1
adaptive_ma20_no_down,CPO,12,10,13,61.54,9,5,63.8,-21.41,2.35,-33.54
bull_delay_ma55,先进封装/封测,24,24,47,76.6,24,20,47.55,-21.88,2.31,20.62
bull_no_sell_until_ma20,液冷/散热,24,23,36,83.33,24,6,50.5,-18.35,2.3,-64.26
bull_delay_ma20,液冷/散热,24,23,36,77.78,24,5,45.39,-19.77,2.21,-63.81
base_combo,覆铜板CCL,18,14,20,95.0,14,1,20.95,-9.85,2.09,-91.89
bull_delay_ma55,覆铜板CCL,18,12,16,100.0,14,1,26.33,-9.8,1.88,-93.58
bull_delay_ma55,液冷/散热,24,22,35,77.14,24,6,45.39,-20.85,1.81,-63.81
base_combo,CPO,12,12,21,61.9,10,2,39.51,-21.75,1.79,-56.96
adaptive_ma55_no_down,HBM,12,11,18,55.55,9,3,27.43,-17.83,1.77,-47.51
bull_delay_ma55,HBM,12,11,20,60.0,11,4,27.43,-17.83,1.77,-47.51
adaptive_shou_no_down,CPO,12,10,15,66.67,9,4,44.07,-21.41,1.74,-58.95
bull_delay_ma20,覆铜板CCL,18,12,17,100.0,14,1,24.32,-9.8,1.69,-93.58
base_combo,大模型/AI应用/AIGC,24,24,64,76.56,22,18,24.31,-17.56,1.5,14.84
bull_no_sell_until_ma20,覆铜板CCL,18,12,18,94.44,14,0,19.0,-8.47,1.46,-88.09
base_combo,液冷/散热,24,24,38,78.95,24,1,16.54,-13.35,1.3,-98.25
base_combo,HBM,12,11,25,68.0,10,2,20.4,-17.82,1.27,-106.33
no_new_entries_in_down,HBM,12,11,23,65.22,8,1,15.35,-17.82,1.27,-106.33
bull_no_sell_until_ma20,大模型/AI应用/AIGC,24,24,61,80.33,23,20,24.14,-18.86,1.21,11.17
bull_delay_ma20,大模型/AI应用/AIGC,24,24,61,80.33,23,20,23.11,-19.7,1.2,12.45
bull_delay_ma55,大模型/AI应用/AIGC,24,24,63,76.19,22,18,21.13,-20.34,1.11,9.97
bull_no_sell_until_ma20,光模块,30,27,50,56.0,21,1,18.42,-17.06,1.11,-240.14
base_combo,光模块,30,27,50,56.0,21,2,16.98,-17.06,1.11,-233.78
adaptive_ma55_no_down,半导体材料,6,5,6,100.0,5,0,19.84,-14.52,1.1,-28.02
bull_delay_ma55,半导体材料,6,5,6,100.0,5,0,19.84,-14.52,1.1,-28.02
bull_delay_ma20,交换机/网络设备,24,24,43,79.07,22,8,17.54,-15.15,1.1,-25.69
no_new_entries_in_down,大模型/AI应用/AIGC,24,23,49,69.39,19,16,16.84,-18.2,1.08,8.29
adaptive_shou_no_down,存储芯片,24,17,24,87.5,15,3,14.11,-13.04,1.04,-129.01
base_combo,存储芯片,24,19,36,75.0,18,5,14.11,-11.93,1.04,-139.77
no_new_entries_in_down,存储芯片,24,17,24,87.5,16,3,14.11,-9.75,1.04,-135.0
bull_delay_ma20,光模块,30,27,48,50.0,21,1,16.22,-17.06,1.02,-213.93
base_combo,交换机/网络设备,24,24,44,79.55,21,7,15.46,-13.2,1.01,-29.18
base_combo,半导体设备,6,6,8,100.0,6,1,15.52,-14.12,1.0,-47.99
adaptive_ma20_no_down,大模型/AI应用/AIGC,24,23,46,73.91,18,15,16.84,-18.81,0.99,5.29
bull_delay_ma55,光模块,30,27,46,52.17,21,2,16.22,-17.06,0.99,-209.32
bull_delay_ma20,半导体设备,6,6,8,100.0,6,1,18.53,-14.7,0.98,-47.99
adaptive_shou_no_down,云计算,12,12,31,58.07,9,12,12.94,-15.5,0.96,34.3
adaptive_ma20_no_down,交换机/网络设备,24,19,27,88.89,20,8,15.46,-15.09,0.93,-29.18
adaptive_shou_no_down,交换机/网络设备,24,19,28,82.14,20,8,16.13,-14.11,0.91,-29.18
adaptive_shou_no_down,HBM,12,11,23,65.22,9,1,15.25,-17.83,0.87,-103.3
adaptive_ma20_no_down,云计算,12,12,31,64.52,9,12,10.95,-16.5,0.86,33.55
bull_delay_ma55,交换机/网络设备,24,24,42,76.19,22,7,15.77,-17.49,0.83,-25.54
adaptive_ma55_no_down,交换机/网络设备,24,19,27,81.48,19,8,14.11,-15.93,0.78,-29.18
bull_no_sell_until_ma20,交换机/网络设备,24,24,44,68.18,21,7,7.42,-13.2,0.78,-23.94
bull_delay_ma20,HBM,12,11,23,65.22,11,2,13.68,-17.83,0.75,-47.51
adaptive_ma20_no_down,HBM,12,11,21,61.91,9,1,13.1,-17.83,0.75,-47.51
no_new_entries_in_down,交换机/网络设备,24,19,28,89.29,19,7,10.55,-12.18,0.74,-29.18
bull_no_sell_until_ma20,HBM,12,11,25,60.0,11,2,13.07,-17.25,0.71,-121.21
adaptive_shou_no_down,液冷/散热,24,19,27,70.37,18,2,16.02,-17.99,0.7,-76.55
bull_delay_ma55,AIPC/端侧AI,12,12,25,68.0,8,6,9.34,-14.97,0.7,-1.81
adaptive_ma55_no_down,大模型/AI应用/AIGC,24,23,48,68.75,18,13,12.99,-19.77,0.66,2.59
bull_delay_ma55,CPO,12,10,15,53.33,10,4,76.93,-23.04,0.65,-25.76
bull_no_sell_until_ma20,存储芯片,24,16,33,78.79,19,4,23.43,-12.89,0.65,-112.08
bull_delay_ma20,存储芯片,24,16,32,71.88,18,4,14.11,-13.63,0.64,-118.15
adaptive_ma55_no_down,云计算,12,12,30,53.33,9,11,8.43,-22.11,0.61,27.9
bull_no_sell_until_ma20,AIPC/端侧AI,12,12,26,57.69,8,5,7.38,-15.56,0.6,-5.92
adaptive_shou_no_down,半导体设备,6,6,7,100.0,6,0,7.34,-12.13,0.6,-46.8
bull_delay_ma55,存储芯片,24,16,31,67.74,18,5,14.11,-13.63,0.59,-94.18
bull_no_sell_until_ma20,半导体设备,6,6,8,75.0,5,0,12.71,-15.05,0.58,-48.19
base_combo,服务器电源,18,18,39,69.23,14,5,14.09,-23.42,0.53,-56.33
adaptive_shou_no_down,大模型/AI应用/AIGC,24,23,49,63.27,18,15,8.36,-21.04,0.53,0.76
bull_delay_ma20,云计算,12,12,41,46.34,8,12,8.43,-20.19,0.5,25.39
bull_delay_ma55,半导体设备,6,3,4,100.0,6,1,39.83,-16.12,0.49,-14.46
no_new_entries_in_down,液冷/散热,24,19,27,70.37,19,0,6.5,-11.02,0.49,-98.25
no_new_entries_in_down,云计算,12,12,31,64.52,9,11,7.39,-16.45,0.48,31.85
bull_delay_ma20,AIPC/端侧AI,12,12,26,57.69,8,6,8.91,-17.25,0.47,-1.51
base_combo,AIPC/端侧AI,12,12,26,57.69,8,6,7.38,-17.25,0.47,-2.98
bull_no_sell_until_ma20,服务器电源,18,18,38,63.16,12,6,11.22,-26.9,0.46,-47.39
bull_no_sell_until_ma20,云计算,12,12,41,39.02,8,12,7.54,-21.08,0.44,24.23
adaptive_ma20_no_down,半导体设备,6,6,7,100.0,6,0,5.33,-13.27,0.4,-47.99
adaptive_ma55_no_down,CPO,12,8,10,50.0,9,4,52.17,-22.61,0.39,-33.86
no_new_entries_in_down,CPO,12,10,16,50.0,7,1,13.59,-18.54,0.39,-61.23
base_combo,云计算,12,12,41,46.34,8,12,5.34,-18.65,0.35,27.09
no_new_entries_in_down,半导体设备,6,6,7,100.0,6,0,4.73,-13.76,0.34,-47.99
bull_delay_ma20,服务器电源,18,18,37,59.46,13,4,7.92,-26.75,0.32,-53.61
bull_delay_ma55,服务器电源,18,18,36,52.78,13,5,6.18,-29.19,0.28,-37.96
adaptive_ma20_no_down,AIPC/端侧AI,12,12,19,42.1,7,4,5.0,-17.25,0.27,-8.52
bull_no_sell_until_ma20,半导体材料,6,5,7,100.0,5,0,2.52,-8.42,0.26,-48.77
base_combo,AI服务器,24,24,58,58.62,14,8,3.48,-17.89,0.25,-24.13
base_combo,半导体材料,6,5,7,100.0,3,1,2.42,-8.42,0.24,-49.12
no_new_entries_in_down,半导体材料,6,5,7,100.0,3,1,2.42,-8.42,0.24,-49.12
base_combo,PCB,24,21,31,64.52,14,1,6.29,-14.66,0.23,-131.59
bull_no_sell_until_ma20,PCB,24,21,30,63.33,14,1,4.64,-12.96,0.21,-113.92
bull_delay_ma55,云计算,12,12,40,42.5,8,12,4.37,-26.37,0.21,25.0
adaptive_ma20_no_down,液冷/散热,24,18,26,69.23,18,2,16.02,-17.99,0.2,-77.13
adaptive_ma55_no_down,AIPC/端侧AI,12,12,19,52.63,6,4,1.62,-13.32,0.2,-8.52
no_new_entries_in_down,AIPC/端侧AI,12,12,19,42.1,6,4,1.93,-17.25,0.17,-9.56
adaptive_ma20_no_down,存储芯片,24,14,20,85.0,15,3,14.11,-13.26,0.14,-118.15
adaptive_ma55_no_down,存储芯片,24,14,19,78.95,15,4,14.11,-13.63,0.14,-87.92
bull_delay_ma20,PCB,24,21,29,62.07,14,1,4.93,-14.92,0.14,-112.88
adaptive_ma55_no_down,半导体设备,6,3,3,100.0,6,1,39.83,-16.12,0.09,-23.1
bull_delay_ma55,PCB,24,21,29,62.07,14,0,3.27,-14.92,0.08,-112.88
adaptive_shou_no_down,AIPC/端侧AI,12,12,19,42.1,7,4,1.85,-20.02,0.08,-8.52
adaptive_ma55_no_down,液冷/散热,24,17,25,68.0,18,2,16.02,-17.99,0.07,-76.55
adaptive_shou_no_down,算力/IDC/算力租赁,24,23,38,63.16,12,8,0.8,-16.25,0.04,-33.06
adaptive_shou_no_down,半导体材料,6,5,7,100.0,5,0,0.51,-8.59,0.04,-48.94
adaptive_ma20_no_down,半导体材料,6,5,7,100.0,3,0,0.4,-8.63,0.03,-49.12
bull_delay_ma20,半导体材料,6,5,7,100.0,3,0,0.4,-8.63,0.03,-49.12
no_new_entries_in_down,AI服务器,24,20,43,51.16,12,4,0.34,-18.08,0.03,-27.62
no_new_entries_in_down,算力/IDC/算力租赁,24,23,38,63.16,13,8,0.11,-13.06,0.01,-33.8
adaptive_ma20_no_down,覆铜板CCL,18,5,6,100.0,9,0,2.69,-3.18,0.0,-137.87
adaptive_ma55_no_down,覆铜板CCL,18,5,6,100.0,9,0,2.69,-3.18,0.0,-137.87
adaptive_shou_no_down,覆铜板CCL,18,5,6,100.0,9,0,2.69,-3.18,0.0,-137.87
adaptive_ma20_no_down,PCB,24,19,23,52.17,11,1,0.0,-10.75,0.0,-115.61
adaptive_ma20_no_down,光模块,30,20,36,33.33,12,0,0.0,-16.3,0.0,-231.33
adaptive_ma55_no_down,PCB,24,19,23,52.17,11,0,0.0,-10.75,0.0,-115.61
adaptive_ma55_no_down,光模块,30,20,34,35.29,11,1,0.0,-16.3,0.0,-219.01
adaptive_shou_no_down,PCB,24,19,25,56.0,11,1,0.0,-10.75,0.0,-132.34
