strategy,window,basket_regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
base_combo,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-18.24,-58.22,-0.31,-3.22,34.0,-0.32,-61.89,-17.92
no_new_entries_in_down,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-18.24,-58.22,-0.31,-3.22,34.0,-0.32,-61.89,-17.92
bull_delay_ma20,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-22.0,-60.14,-0.37,-4.89,34.2,-0.32,-61.89,-21.68
bull_delay_ma55,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-21.54,-59.9,-0.36,-5.32,37.8,-0.32,-61.89,-21.22
adaptive_ma20_no_down,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-22.0,-60.14,-0.37,-4.89,34.2,-0.32,-61.89,-21.68
adaptive_ma55_no_down,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-21.54,-59.9,-0.36,-5.32,37.8,-0.32,-61.89,-21.22
adaptive_shou_no_down,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-18.37,-58.28,-0.32,-3.79,35.8,-0.32,-61.89,-18.05
bull_no_sell_until_ma20,2024-06-12_2025-06-23,basket_neutral,300308,中际旭创,光模块,4,25.0,-13.72,-56.8,-0.24,-2.61,33.5,-0.32,-61.89,-13.4
base_combo,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-34.89,-51.63,-0.68,-12.93,30.7,187.88,-54.6,-222.77
no_new_entries_in_down,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-34.89,-51.63,-0.68,-12.93,30.7,187.88,-54.6,-222.77
bull_delay_ma20,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-33.14,-50.33,-0.66,-12.18,30.0,187.88,-54.6,-221.02
bull_delay_ma55,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-23.93,-43.49,-0.55,-8.23,28.7,187.88,-54.6,-211.81
adaptive_ma20_no_down,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-33.14,-50.33,-0.66,-12.18,30.0,187.88,-54.6,-221.02
adaptive_ma55_no_down,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-23.93,-43.49,-0.55,-8.23,28.7,187.88,-54.6,-211.81
adaptive_shou_no_down,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-31.03,-48.76,-0.64,-11.27,31.3,187.88,-54.6,-218.91
bull_no_sell_until_ma20,2024-09-04_2025-09-15,basket_neutral,300308,中际旭创,光模块,3,0.0,-26.71,-46.66,-0.57,-9.49,29.3,187.88,-54.6,-214.59
base_combo,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
no_new_entries_in_down,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
bull_delay_ma20,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
bull_delay_ma55,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
adaptive_ma20_no_down,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
adaptive_ma55_no_down,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
adaptive_shou_no_down,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-17.7,-34.56,-0.51,-17.48,46.0,335.66,-44.53,-353.36
bull_no_sell_until_ma20,2024-12-06_2025-12-16,basket_neutral,300308,中际旭创,光模块,1,0.0,-15.99,-34.56,-0.46,-15.77,45.0,335.66,-44.53,-351.65
base_combo,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
no_new_entries_in_down,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
bull_delay_ma20,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
bull_delay_ma55,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
adaptive_ma20_no_down,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
adaptive_ma55_no_down,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
adaptive_shou_no_down,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
bull_no_sell_until_ma20,2025-03-11_2026-03-20,basket_neutral,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,652.3,-21.31,-652.3
base_combo,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
no_new_entries_in_down,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
bull_delay_ma20,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
bull_delay_ma55,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
adaptive_ma20_no_down,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
adaptive_ma55_no_down,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
adaptive_shou_no_down,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
bull_no_sell_until_ma20,2025-06-10_2026-06-18,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,617.9,-21.31,-617.9
base_combo,2025-06-24_2026-07-03,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-21.31,-422.82
