strategy,segment_policy,window,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
segment_policy_v1,adaptive_ma55_no_down,2024-06-12_2025-06-23,300475,香农芯创,HBM,3,33.33,-3.36,-29.0,-0.12,1.65,32.0,32.57,-39.7,-35.93
segment_policy_v1,adaptive_ma55_no_down,2024-09-04_2025-09-15,300475,香农芯创,HBM,2,50.0,18.17,-14.31,1.27,11.47,31.5,121.26,-39.7,-103.09
segment_policy_v1,adaptive_ma55_no_down,2024-12-06_2025-12-16,300475,香农芯创,HBM,0,0.0,0.0,0.0,0.0,0.0,0.0,349.39,-39.7,-349.39
segment_policy_v1,adaptive_ma55_no_down,2025-03-11_2026-03-20,300475,香农芯创,HBM,1,100.0,12.52,-17.79,0.7,7.08,20.0,408.2,-37.62,-395.68
segment_policy_v1,adaptive_ma55_no_down,2025-06-10_2026-06-18,300475,香农芯创,HBM,2,50.0,72.69,-22.21,3.27,0.52,20.0,651.68,-37.71,-578.99
segment_policy_v1,adaptive_ma55_no_down,2025-06-24_2026-07-03,300475,香农芯创,HBM,2,50.0,79.05,-22.21,3.56,0.52,20.0,642.95,-37.71,-563.9
segment_policy_v1,adaptive_ma55_no_down,2024-06-12_2025-06-23,002409,雅克科技,HBM,2,0.0,-14.81,-25.37,-0.58,-7.39,30.5,-7.92,-28.81,-6.89
segment_policy_v1,adaptive_ma55_no_down,2024-09-04_2025-09-15,002409,雅克科技,HBM,1,0.0,10.82,-11.21,0.96,-3.56,30.0,-3.65,-28.81,14.47
segment_policy_v1,adaptive_ma55_no_down,2024-12-06_2025-12-16,002409,雅克科技,HBM,1,100.0,36.68,-16.11,2.28,35.86,100.0,17.7,-21.33,18.98
segment_policy_v1,adaptive_ma55_no_down,2025-03-11_2026-03-20,002409,雅克科技,HBM,2,100.0,80.45,-16.19,4.97,34.69,68.5,60.54,-21.33,19.91
segment_policy_v1,adaptive_ma55_no_down,2025-06-10_2026-06-18,002409,雅克科技,HBM,1,100.0,132.57,-17.87,7.42,33.51,37.0,171.77,-21.73,-39.2
segment_policy_v1,adaptive_ma55_no_down,2025-06-24_2026-07-03,002409,雅克科技,HBM,1,100.0,208.98,-17.87,11.69,33.51,37.0,264.79,-21.73,-55.81
segment_policy_v1,adaptive_shou_no_down,2024-06-12_2025-06-23,600584,长电科技,先进封装/封测,1,100.0,-0.08,-17.11,-0.0,0.18,34.0,-0.87,-35.75,0.79
segment_policy_v1,adaptive_shou_no_down,2024-09-04_2025-09-15,600584,长电科技,先进封装/封测,2,100.0,10.97,-17.11,0.64,5.76,45.5,-5.25,-35.75,16.22
segment_policy_v1,adaptive_shou_no_down,2024-12-06_2025-12-16,600584,长电科技,先进封装/封测,1,100.0,9.77,-12.2,0.8,11.35,57.0,-12.89,-29.22,22.66
segment_policy_v1,adaptive_shou_no_down,2025-03-11_2026-03-20,600584,长电科技,先进封装/封测,2,100.0,47.13,-12.2,3.86,22.09,51.5,27.69,-25.91,19.44
segment_policy_v1,adaptive_shou_no_down,2025-06-10_2026-06-18,600584,长电科技,先进封装/封测,2,100.0,121.48,-21.88,5.55,50.22,45.5,137.5,-27.27,-16.02
segment_policy_v1,adaptive_shou_no_down,2025-06-24_2026-07-03,600584,长电科技,先进封装/封测,2,100.0,121.48,-21.88,5.55,50.22,45.5,162.1,-27.27,-40.62
segment_policy_v1,adaptive_shou_no_down,2024-06-12_2025-06-23,002156,通富微电,先进封装/封测,2,50.0,-10.11,-19.75,-0.51,-5.67,26.5,10.24,-38.35,-20.35
segment_policy_v1,adaptive_shou_no_down,2024-09-04_2025-09-15,002156,通富微电,先进封装/封测,1,100.0,43.25,-11.76,3.68,3.77,33.0,21.96,-38.35,21.29
segment_policy_v1,adaptive_shou_no_down,2024-12-06_2025-12-16,002156,通富微电,先进封装/封测,1,100.0,81.11,-17.49,4.64,81.58,86.0,22.23,-28.07,58.88
segment_policy_v1,adaptive_shou_no_down,2025-03-11_2026-03-20,002156,通富微电,先进封装/封测,2,100.0,142.99,-17.49,8.18,58.05,57.5,75.06,-25.0,67.93
segment_policy_v1,adaptive_shou_no_down,2025-06-10_2026-06-18,002156,通富微电,先进封装/封测,2,100.0,71.46,-24.12,2.96,31.33,36.0,148.73,-28.3,-77.27
segment_policy_v1,adaptive_shou_no_down,2025-06-24_2026-07-03,002156,通富微电,先进封装/封测,2,100.0,71.46,-24.12,2.96,31.33,36.0,136.5,-28.3,-65.04
segment_policy_v1,adaptive_shou_no_down,2024-05-28_2025-06-09,002185,华天科技,先进封装/封测,1,0.0,-11.27,-16.35,-0.69,-11.04,43.0,0.62,-38.87,-11.89
segment_policy_v1,adaptive_shou_no_down,2024-08-21_2025-09-01,002185,华天科技,先进封装/封测,2,50.0,0.58,-16.35,0.04,1.31,39.0,19.6,-38.87,-19.02
segment_policy_v1,adaptive_shou_no_down,2024-11-22_2025-12-16,002185,华天科技,先进封装/封测,2,50.0,7.21,-10.1,0.71,6.55,33.0,-2.42,-26.04,9.63
