date,equity,cash,positions
2024-05-28,1000000.0,1000000.0,0
2024-05-29,1000000.0,1000000.0,0
2024-05-30,1000000.0,1000000.0,0
2024-05-31,1000000.0,1000000.0,0
2024-06-03,1000000.0,1000000.0,0
2024-06-04,1000000.0,1000000.0,0
2024-06-05,1000000.0,1000000.0,0
2024-06-06,1000000.0,1000000.0,0
2024-06-07,1000000.0,1000000.0,0
2024-06-11,1000000.0,1000000.0,0
2024-06-12,1000000.0,1000000.0,0
2024-06-13,1000000.0,1000000.0,0
2024-06-14,1000000.0,1000000.0,0
2024-06-17,1000000.0,1000000.0,0
2024-06-18,1000000.0,1000000.0,0
2024-06-19,1000000.0,1000000.0,0
2024-06-20,1000000.0,1000000.0,0
2024-06-21,1000000.0,1000000.0,0
2024-06-24,1000000.0,1000000.0,0
2024-06-25,1000000.0,1000000.0,0
2024-06-26,1000000.0,1000000.0,0
2024-06-27,1000000.0,1000000.0,0
2024-06-28,1000000.0,1000000.0,0
2024-07-01,1000000.0,1000000.0,0
2024-07-02,1000000.0,1000000.0,0
2024-07-03,1000000.0,1000000.0,0
2024-07-04,1000000.0,1000000.0,0
2024-07-05,1000000.0,1000000.0,0
2024-07-08,1000000.0,1000000.0,0
2024-07-09,1000000.0,1000000.0,0
2024-07-10,1000000.0,1000000.0,0
2024-07-11,1000000.0,1000000.0,0
2024-07-12,1000000.0,1000000.0,0
2024-07-15,1000000.0,1000000.0,0
2024-07-16,1000000.0,1000000.0,0
2024-07-17,1000000.0,1000000.0,0
2024-07-18,1000000.0,1000000.0,0
2024-07-19,1000000.0,1000000.0,0
2024-07-22,1000000.0,1000000.0,0
2024-07-23,1000000.0,1000000.0,0
2024-07-24,1000000.0,1000000.0,0
2024-07-25,1000000.0,1000000.0,0
2024-07-26,1000000.0,1000000.0,0
2024-07-29,1000000.0,1000000.0,0
2024-07-30,998700.0,0.0,5
2024-07-31,1042214.854559154,0.0,5
2024-08-01,1040566.4262995995,0.0,5
2024-08-02,1000286.4869193138,0.0,5
2024-08-05,942327.5728441656,0.0,5
2024-08-06,960040.1306515838,0.0,5
2024-08-07,974868.1350376562,0.0,5
2024-08-08,971711.3594678978,0.0,5
2024-08-09,956207.5945236944,0.0,5
2024-08-12,948790.1407580809,0.0,5
2024-08-13,960391.3291793779,0.0,5
2024-08-14,953451.2517093446,0.0,5
2024-08-15,961747.6271535383,0.0,5
2024-08-16,968741.0299985292,0.0,5
2024-08-19,971834.37992512,0.0,5
2024-08-20,955884.8288581498,182648.84513663585,4
2024-08-21,955000.4149714038,182648.84513663585,4
2024-08-22,949150.5535480336,361984.70495722676,3
2024-08-23,964648.7589637397,361984.70495722676,3
2024-08-26,942277.3379130447,353102.0159031971,3
2024-08-27,932687.700283942,533777.2454241831,2
2024-08-28,936583.818760575,533777.2454241831,2
2024-08-29,935703.8555888452,346587.80505191727,3
2024-08-30,947559.0847893966,157026.70220729834,4
2024-09-02,923244.9232788715,0.0,5
2024-09-03,936837.7229958836,0.0,5
2024-09-04,923569.2869706955,0.0,5
2024-09-05,933467.5051066019,0.0,5
2024-09-06,911877.1981550688,145127.71959188106,4
2024-09-09,906060.6833750784,323488.8295185723,3
2024-09-10,918162.8797636132,323488.8295185723,3
2024-09-11,927432.1924386695,0.0,5
2024-09-12,929790.696410174,0.0,5
2024-09-13,918272.982330615,0.0,5
2024-09-18,908818.9841743618,0.0,5
2024-09-19,920945.1603326532,0.0,5
2024-09-20,923818.0302713001,0.0,5
2024-09-23,925936.524705671,0.0,5
2024-09-24,961809.8253092241,0.0,5
2024-09-25,997898.7042107112,0.0,5
2024-09-26,1023346.1332462241,0.0,5
2024-09-27,1082900.8344978124,0.0,5
2024-09-30,1238658.9445454646,0.0,5
2024-10-08,1432739.6836297265,0.0,5
2024-10-09,1366423.9991686025,0.0,5
2024-10-10,1324823.7558570334,0.0,5
2024-10-11,1249697.0793362514,0.0,5
2024-10-14,1339926.4549740225,0.0,5
2024-10-15,1309275.53319347,0.0,5
2024-10-16,1268525.428058946,246134.5460211742,4
2024-10-17,1307302.2378119433,246134.5460211742,4
2024-10-18,1402568.7569541805,246134.5460211742,4
2024-10-21,1496900.8641578143,246134.5460211742,4
2024-10-22,1522437.8037881593,246134.5460211742,4
2024-10-23,1564227.2261547064,246134.5460211742,4
2024-10-24,1596637.3300388372,246134.5460211742,4
2024-10-25,1604261.4858198036,246134.5460211742,4
2024-10-28,1640255.4275093265,803338.3180482669,2
2024-10-29,1635814.4112463319,803338.3180482669,2
2024-10-30,1686311.1544615729,803338.3180482669,2
2024-10-31,1652811.5177030754,803338.3180482669,2
2024-11-01,1608334.4421458812,803338.3180482669,2
2024-11-04,1642258.4240340127,803338.3180482669,2
2024-11-05,1684878.8239456562,803338.3180482669,2
2024-11-06,1671699.8531189442,803338.3180482669,2
2024-11-07,1690880.6290640733,803338.3180482669,2
2024-11-08,1762885.5090062374,803338.3180482669,2
2024-11-11,1731736.477023831,803338.3180482669,2
2024-11-12,1742937.5673573148,803338.3180482669,2
2024-11-13,1754021.694110422,803338.3180482669,2
2024-11-14,1684857.27645828,803338.3180482669,2
2024-11-15,1621292.44427056,803338.3180482669,2
2024-11-18,1599780.7606682633,803338.3180482669,2
2024-11-19,1622090.9557139392,803338.3180482669,2
2024-11-20,1632367.682704962,1632367.682704962,0
2024-11-21,1632367.682704962,1632367.682704962,0
2024-11-22,1632367.682704962,1632367.682704962,0
2024-11-25,1632367.682704962,1632367.682704962,0
2024-11-26,1632367.682704962,1632367.682704962,0
2024-11-27,1632367.682704962,1632367.682704962,0
2024-11-28,1632367.682704962,1632367.682704962,0
2024-11-29,1632367.682704962,1632367.682704962,0
2024-12-02,1632367.682704962,1632367.682704962,0
2024-12-03,1632367.682704962,1632367.682704962,0
2024-12-04,1632367.682704962,1632367.682704962,0
2024-12-05,1632367.682704962,1632367.682704962,0
2024-12-06,1631943.2671074588,1305894.1461639698,1
2024-12-09,1627352.1037052977,1305894.1461639698,1
2024-12-10,1628882.491506018,1305894.1461639698,1
2024-12-11,1630740.81954975,1305894.1461639698,1
2024-12-12,1629538.371992041,1305894.1461639698,1
2024-12-13,1636097.1768522714,1305894.1461639698,1
2024-12-16,1624415.437322797,980926.5671288612,2
2024-12-17,1606481.114272654,980926.5671288612,2
2024-12-18,1596774.2826129762,661488.6567495672,3
2024-12-19,1627230.7739355937,661488.6567495672,3
2024-12-20,1659518.4734719638,329498.64465202915,4
2024-12-23,1652020.5570859164,0.0,5
2024-12-24,1661031.0309739744,0.0,5
2024-12-25,1664528.8823018998,0.0,5
2024-12-26,1732836.6228073663,0.0,5
2024-12-27,1779251.706376612,0.0,5
2024-12-30,1802883.0878646346,0.0,5
2024-12-31,1719048.2357808691,0.0,5
2025-01-02,1637338.3230261016,0.0,5
2025-01-03,1549125.1156628884,892179.3901294579,2
2025-01-06,1477752.462541529,892179.3901294579,2
2025-01-07,1492744.0142914508,892179.3901294579,2
2025-01-08,1496854.4649844023,592730.6404576628,3
2025-01-09,1496370.7187829625,0.0,5
2025-01-10,1444895.3792088993,0.0,5
2025-01-13,1431997.5676704883,293862.8613362026,4
2025-01-14,1482598.1811893056,0.0,5
2025-01-15,1471138.96710961,0.0,5
2025-01-16,1487342.931859562,0.0,5
2025-01-17,1497644.6295936755,0.0,5
2025-01-20,1515912.1398747002,0.0,5
2025-01-21,1524096.7017897663,0.0,5
2025-01-22,1520642.6779542193,0.0,5
2025-01-23,1500609.6038574367,0.0,5
2025-01-24,1522934.0978952823,0.0,5
2025-01-27,1486684.5264545283,0.0,5
2025-02-05,1510553.7160091044,0.0,5
2025-02-06,1591140.2459632047,0.0,5
2025-02-07,1602363.9234086506,0.0,5
2025-02-10,1625727.049444342,0.0,5
2025-02-11,1607788.105276947,0.0,5
2025-02-12,1654446.0293377147,0.0,5
2025-02-13,1617399.0932561895,0.0,5
2025-02-14,1637504.6830056324,0.0,5
2025-02-17,1630733.6985984456,0.0,5
2025-02-18,1589908.3673318087,310677.82143109327,4
2025-02-19,1646841.814461995,310677.82143109327,4
2025-02-20,1643198.8176627387,310677.82143109327,4
2025-02-21,1701808.907711553,310677.82143109327,4
2025-02-24,1756349.963590691,310677.82143109327,4
2025-02-25,1744714.9045327199,310677.82143109327,4
2025-02-26,1755471.520269271,310677.82143109327,4
2025-02-27,1738542.3734624067,310677.82143109327,4
2025-02-28,1668854.6455468554,310677.82143109327,4
2025-03-03,1653560.4712408318,310677.82143109327,4
2025-03-04,1683551.760484695,310677.82143109327,4
2025-03-05,1697801.1517924194,310677.82143109327,4
2025-03-06,1715177.5955526414,999501.8543409235,2
2025-03-07,1740842.3810759108,999501.8543409235,2
2025-03-10,1751983.1628355205,999501.8543409235,2
2025-03-11,1756237.6650186172,999501.8543409235,2
2025-03-12,1756597.81390423,999501.8543409235,2
2025-03-13,1751173.0811185758,999501.8543409235,2
2025-03-14,1795356.6562760486,999501.8543409235,2
2025-03-17,1798844.6345221323,999501.8543409235,2
2025-03-18,1783774.6960531191,999501.8543409235,2
2025-03-19,1768025.0281167654,999501.8543409235,2
2025-03-20,1755453.7393756444,999501.8543409235,2
2025-03-21,1737244.441762229,999501.8543409235,2
2025-03-24,1703795.553007497,1703795.553007497,0
2025-03-25,1703795.553007497,1703795.553007497,0
2025-03-26,1703795.553007497,1703795.553007497,0
2025-03-27,1703795.553007497,1703795.553007497,0
2025-03-28,1703795.553007497,1703795.553007497,0
2025-03-31,1703795.553007497,1703795.553007497,0
2025-04-01,1703795.553007497,1703795.553007497,0
2025-04-02,1703795.553007497,1703795.553007497,0
2025-04-03,1703795.553007497,1703795.553007497,0
2025-04-07,1703795.553007497,1703795.553007497,0
2025-04-08,1703795.553007497,1703795.553007497,0
2025-04-09,1703795.553007497,1703795.553007497,0
2025-04-10,1702466.592476151,681518.2212029987,3
2025-04-11,1712519.1084983253,0.0,5
2025-04-14,1723707.9356786502,0.0,5
2025-04-15,1714321.0574609046,0.0,5
2025-04-16,1693204.4198647644,0.0,5
2025-04-17,1682355.1925023717,0.0,5
2025-04-18,1694097.2169863693,0.0,5
2025-04-21,1741197.2300335504,0.0,5
2025-04-22,1719137.0490660425,0.0,5
2025-04-23,1741753.0185226458,0.0,5
2025-04-24,1715950.0475978456,0.0,5
2025-04-25,1751320.9776922078,0.0,5
2025-04-28,1756676.3534058998,0.0,5
2025-04-29,1736065.9508554966,0.0,5
2025-04-30,1764623.0905190352,0.0,5
2025-05-06,1823616.9895386416,0.0,5
2025-05-07,1821964.4704586738,0.0,5
2025-05-08,1861142.1162360068,0.0,5
2025-05-09,1825686.007343147,0.0,5
2025-05-12,1851373.8375683618,0.0,5
2025-05-13,1831324.2909376766,0.0,5
2025-05-14,1842782.0689587216,0.0,5
2025-05-15,1785978.9011213058,0.0,5
2025-05-16,1787828.1099301858,0.0,5
2025-05-19,1761379.6235229345,0.0,5
2025-05-20,1774949.2399009094,326005.3827565949,4
2025-05-21,1760381.3123360816,326005.3827565949,4
2025-05-22,1819102.4544603573,676012.3578834638,3
2025-05-23,1798534.1680220214,676012.3578834638,3
2025-05-26,1811458.7365822522,1031005.2825977223,2
2025-05-27,1795670.5513759898,1378410.443461896,1
2025-05-28,1771152.4242659549,1378410.443461896,1
