date,equity,cash,positions
2024-05-28,1000000.0,1000000.0,0
2024-05-29,1000000.0,1000000.0,0
2024-05-30,1000000.0,1000000.0,0
2024-05-31,1000000.0,1000000.0,0
2024-06-03,1000000.0,1000000.0,0
2024-06-04,1000000.0,1000000.0,0
2024-06-05,1000000.0,1000000.0,0
2024-06-06,1000000.0,1000000.0,0
2024-06-07,1000000.0,1000000.0,0
2024-06-11,1000000.0,1000000.0,0
2024-06-12,1000000.0,1000000.0,0
2024-06-13,1000000.0,1000000.0,0
2024-06-14,1000000.0,1000000.0,0
2024-06-17,1000000.0,1000000.0,0
2024-06-18,1000000.0,1000000.0,0
2024-06-19,1000000.0,1000000.0,0
2024-06-20,1000000.0,1000000.0,0
2024-06-21,1000000.0,1000000.0,0
2024-06-24,1000000.0,1000000.0,0
2024-06-25,1000000.0,1000000.0,0
2024-06-26,1000000.0,1000000.0,0
2024-06-27,1000000.0,1000000.0,0
2024-06-28,1000000.0,1000000.0,0
2024-07-01,1000000.0,1000000.0,0
2024-07-02,1000000.0,1000000.0,0
2024-07-03,1000000.0,1000000.0,0
2024-07-04,1000000.0,1000000.0,0
2024-07-05,1000000.0,1000000.0,0
2024-07-08,1000000.0,1000000.0,0
2024-07-09,1000000.0,1000000.0,0
2024-07-10,1000000.0,1000000.0,0
2024-07-11,1000000.0,1000000.0,0
2024-07-12,1000000.0,1000000.0,0
2024-07-15,1000000.0,1000000.0,0
2024-07-16,1000000.0,1000000.0,0
2024-07-17,1000000.0,1000000.0,0
2024-07-18,1000000.0,1000000.0,0
2024-07-19,1000000.0,1000000.0,0
2024-07-22,1000000.0,1000000.0,0
2024-07-23,1000000.0,1000000.0,0
2024-07-24,1000000.0,1000000.0,0
2024-07-25,1000000.0,1000000.0,0
2024-07-26,1000000.0,1000000.0,0
2024-07-29,1000000.0,1000000.0,0
2024-07-30,998700.0,0.0,5
2024-07-31,1042214.854559154,0.0,5
2024-08-01,1040566.4262995995,0.0,5
2024-08-02,1000286.4869193138,0.0,5
2024-08-05,942090.9247546401,181800.34385317814,4
2024-08-06,954260.1164027028,181800.34385317814,4
2024-08-07,968945.0661782112,181800.34385317814,4
2024-08-08,963284.8349235826,181800.34385317814,4
2024-08-09,948782.4522533274,181800.34385317814,4
2024-08-12,940292.0889084837,181800.34385317814,4
2024-08-13,950605.7858347046,181800.34385317814,4
2024-08-14,947506.4243187365,0.0,5
2024-08-15,953511.0587215238,0.0,5
2024-08-16,960503.7447484195,0.0,5
2024-08-19,963846.4366981634,0.0,5
2024-08-20,947357.5635691962,182648.84513663585,4
2024-08-21,950948.0505347678,182648.84513663585,4
2024-08-22,943643.4259825795,182648.84513663585,4
2024-08-23,960860.5805429595,182648.84513663585,4
2024-08-26,937630.8933097061,174695.6866812297,4
2024-08-27,924084.5331546345,355370.9162022157,3
2024-08-28,928088.3597941692,355370.9162022157,3
2024-08-29,923873.6156002556,170548.13916013367,4
2024-08-30,938242.4113415689,0.0,5
2024-09-02,911920.0028182031,0.0,5
2024-09-03,925994.3769812409,0.0,5
2024-09-04,918979.9553077186,0.0,5
2024-09-05,933804.2037022563,0.0,5
2024-09-06,911817.9512431327,166414.0128892901,4
2024-09-09,906448.3565125933,166414.0128892901,4
2024-09-10,920300.0557891564,166414.0128892901,4
2024-09-11,928711.2228823896,0.0,5
2024-09-12,922963.0132974612,0.0,5
2024-09-13,910536.530411568,0.0,5
2024-09-18,899671.2888113664,0.0,5
2024-09-19,917071.3709653282,0.0,5
2024-09-20,918196.4473181646,0.0,5
2024-09-23,922502.3035134405,0.0,5
2024-09-24,954445.6177966914,0.0,5
2024-09-25,972300.1591814377,0.0,5
2024-09-26,1003951.776304223,0.0,5
2024-09-27,1069501.2036073667,0.0,5
2024-09-30,1207269.4294417384,0.0,5
2024-10-08,1374300.8817106786,0.0,5
2024-10-09,1279087.8224785007,0.0,5
2024-10-10,1224947.8958769992,0.0,5
2024-10-11,1150661.912823508,0.0,5
2024-10-14,1191691.4201820937,0.0,5
2024-10-15,1168744.002238219,0.0,5
2024-10-16,1156596.7366449572,246134.5460211742,4
2024-10-17,1190839.840181363,246134.5460211742,4
2024-10-18,1238886.6689984344,246134.5460211742,4
2024-10-21,1297544.7345863744,246134.5460211742,4
2024-10-22,1322902.6132111112,246134.5460211742,4
2024-10-23,1362179.8417733214,246134.5460211742,4
2024-10-24,1397043.0752255935,246134.5460211742,4
2024-10-25,1407468.8410920065,246134.5460211742,4
2024-10-28,1441274.2498596914,798241.788847626,2
2024-10-29,1432982.9460396965,798241.788847626,2
2024-10-30,1463777.4171304828,798241.788847626,2
2024-10-31,1452716.094736422,798241.788847626,2
2024-11-01,1415828.1703383431,798241.788847626,2
2024-11-04,1443486.7204004629,798241.788847626,2
2024-11-05,1491447.6970357671,798241.788847626,2
2024-11-06,1481331.4672167092,798241.788847626,2
2024-11-07,1490600.5750802148,798241.788847626,2
2024-11-08,1523883.791529491,798241.788847626,2
2024-11-11,1531965.3583303532,798241.788847626,2
2024-11-12,1517385.362701816,798241.788847626,2
2024-11-13,1532709.8018823292,798241.788847626,2
2024-11-14,1486041.0683744252,798241.788847626,2
2024-11-15,1447464.7649868238,798241.788847626,2
2024-11-18,1425114.4185667904,798241.788847626,2
2024-11-19,1450820.29300268,798241.788847626,2
2024-11-20,1453392.4142822588,1228926.516397494,1
2024-11-21,1453187.39688145,1453187.39688145,0
2024-11-22,1453187.39688145,1453187.39688145,0
2024-11-25,1453187.39688145,1453187.39688145,0
2024-11-26,1453187.39688145,1453187.39688145,0
2024-11-27,1453187.39688145,1453187.39688145,0
2024-11-28,1453187.39688145,1453187.39688145,0
2024-11-29,1453187.39688145,1453187.39688145,0
2024-12-02,1453187.39688145,1453187.39688145,0
2024-12-03,1453187.39688145,1453187.39688145,0
2024-12-04,1453187.39688145,1453187.39688145,0
2024-12-05,1453187.39688145,1453187.39688145,0
2024-12-06,1452809.5681582608,1162549.91750516,1
2024-12-09,1448722.3635022677,1162549.91750516,1
2024-12-10,1450084.7650542655,1162549.91750516,1
2024-12-11,1451739.109795977,1162549.91750516,1
2024-12-12,1450668.651433693,1162549.91750516,1
2024-12-13,1456507.5152279688,1162549.91750516,1
2024-12-16,1446108.0465067097,873253.0910289342,2
2024-12-17,1430142.3222987414,873253.0910289342,2
2024-12-18,1421156.3502277462,853773.1146860551,2
2024-12-19,1446069.028378293,853773.1146860551,2
2024-12-20,1443297.3201463723,565038.5796776784,3
2024-12-23,1423737.148095897,0.0,5
2024-12-24,1431602.449264944,0.0,5
2024-12-25,1435004.2101446076,0.0,5
2024-12-26,1493994.7327694688,0.0,5
2024-12-27,1531698.6863224406,0.0,5
2024-12-30,1551881.255415703,0.0,5
2024-12-31,1478884.213683362,0.0,5
2025-01-02,1408143.9792642226,263447.2076104963,4
2025-01-03,1337927.6485059182,520138.142901181,3
2025-01-06,1274207.838960146,1005741.6893422666,1
2025-01-07,1282984.8279137344,1005741.6893422666,1
2025-01-08,1275741.1701460143,750527.0995197099,2
2025-01-09,1286201.7297107433,235778.73848767593,4
2025-01-10,1256700.2066569722,0.0,5
2025-01-13,1245605.2277603277,0.0,5
2025-01-14,1305276.7811902342,0.0,5
2025-01-15,1295192.441899769,0.0,5
2025-01-16,1308793.0367123028,12645.506022785616,5
2025-01-17,1313413.8345559821,12645.506022785616,5
2025-01-20,1328054.0280982952,12645.506022785616,5
2025-01-21,1334029.898759331,12645.506022785616,5
2025-01-22,1330854.299070808,12645.506022785616,5
2025-01-23,1312836.6980057312,12645.506022785616,5
2025-01-24,1339468.4161342895,12645.506022785616,5
2025-01-27,1321376.6061595324,12645.506022785616,5
2025-02-05,1358841.6937078221,12645.506022785616,5
2025-02-06,1399973.0615342709,12645.506022785616,5
2025-02-07,1411997.790235412,12645.506022785616,5
2025-02-10,1430376.4302862228,12645.506022785616,5
2025-02-11,1414736.7726762595,12645.506022785616,5
2025-02-12,1449283.64145854,12645.506022785616,5
2025-02-13,1416455.6569613433,12645.506022785616,5
2025-02-14,1445181.0360285752,12645.506022785616,5
2025-02-17,1438478.6300997513,12645.506022785616,5
2025-02-18,1412990.240018069,277430.424478467,4
2025-02-19,1455638.684489945,277430.424478467,4
2025-02-20,1450604.509771729,277430.424478467,4
2025-02-21,1489986.9424782773,277430.424478467,4
2025-02-24,1508454.56014902,277430.424478467,4
2025-02-25,1482582.47030441,277430.424478467,4
2025-02-26,1488640.0146842399,277430.424478467,4
2025-02-27,1453194.0674777909,277430.424478467,4
2025-02-28,1394309.2382899332,277430.424478467,4
2025-03-03,1399763.8793638628,556508.1989309315,3
2025-03-04,1411091.7507015471,556508.1989309315,3
2025-03-05,1429346.1080585713,556508.1989309315,3
2025-03-06,1435208.767813995,1151411.7733651644,1
2025-03-07,1429204.1543457012,1151411.7733651644,1
2025-03-10,1434471.3591424502,1151411.7733651644,1
2025-03-11,1442161.4781457037,1151411.7733651644,1
2025-03-12,1442477.5104335085,1151411.7733651644,1
2025-03-13,1449219.532573347,1151411.7733651644,1
2025-03-14,1452379.8554513964,1151411.7733651644,1
2025-03-17,1451115.7263001767,1151411.7733651644,1
2025-03-18,1451326.4144920465,1151411.7733651644,1
2025-03-19,1441002.6930904188,1151411.7733651644,1
2025-03-20,1439633.219843264,1151411.7733651644,1
2025-03-21,1435524.8001018,1151411.7733651644,1
2025-03-24,1422635.802482421,1422635.802482421,0
2025-03-25,1422635.802482421,1422635.802482421,0
2025-03-26,1422635.802482421,1422635.802482421,0
2025-03-27,1422635.802482421,1422635.802482421,0
2025-03-28,1422635.802482421,1422635.802482421,0
2025-03-31,1422635.802482421,1422635.802482421,0
2025-04-01,1422635.802482421,1422635.802482421,0
2025-04-02,1422635.802482421,1422635.802482421,0
2025-04-03,1422635.802482421,1422635.802482421,0
2025-04-07,1422635.802482421,1422635.802482421,0
2025-04-08,1422635.802482421,1422635.802482421,0
2025-04-09,1422635.802482421,1422635.802482421,0
2025-04-10,1421526.1465564847,569054.3209929683,3
2025-04-11,1429919.7998753523,0.0,5
2025-04-14,1439262.2506796294,0.0,5
2025-04-15,1431424.3918458421,0.0,5
2025-04-16,1413792.4144531982,0.0,5
2025-04-17,1404733.5228228222,0.0,5
2025-04-18,1414537.882503814,0.0,5
2025-04-21,1453865.4677531307,0.0,5
2025-04-22,1435445.650188623,0.0,5
2025-04-23,1454329.5402187495,0.0,5
2025-04-24,1432784.5665960414,0.0,5
2025-04-25,1462318.598088564,0.0,5
2025-04-28,1466790.2315616026,0.0,5
2025-04-29,1449580.9504832353,0.0,5
2025-04-30,1473425.6008757828,0.0,5
2025-05-06,1522684.3471644318,0.0,5
2025-05-07,1521304.526209213,0.0,5
2025-05-08,1554017.0904845605,0.0,5
2025-05-09,1524411.9363692906,0.0,5
2025-05-12,1545860.7697706772,0.0,5
2025-05-13,1529119.7923629093,0.0,5
2025-05-14,1538686.8118335626,0.0,5
2025-05-15,1491257.2830281367,0.0,5
2025-05-16,1492801.3360415013,0.0,5
2025-05-19,1470717.3696771055,0.0,5
2025-05-20,1482047.7326723498,272208.08769740723,4
2025-05-21,1469883.7994556495,272208.08769740723,4
2025-05-22,1518914.799097122,564457.0333265469,3
2025-05-23,1501740.6841446331,564457.0333265469,3
