date,equity,cash,positions
2024-05-28,1000000.0,1000000.0,0
2024-05-29,1000000.0,1000000.0,0
2024-05-30,1000000.0,1000000.0,0
2024-05-31,1000000.0,1000000.0,0
2024-06-03,1000000.0,1000000.0,0
2024-06-04,1000000.0,1000000.0,0
2024-06-05,1000000.0,1000000.0,0
2024-06-06,1000000.0,1000000.0,0
2024-06-07,1000000.0,1000000.0,0
2024-06-11,1000000.0,1000000.0,0
2024-06-12,1000000.0,1000000.0,0
2024-06-13,1000000.0,1000000.0,0
2024-06-14,1000000.0,1000000.0,0
2024-06-17,1000000.0,1000000.0,0
2024-06-18,1000000.0,1000000.0,0
2024-06-19,1000000.0,1000000.0,0
2024-06-20,1000000.0,1000000.0,0
2024-06-21,1000000.0,1000000.0,0
2024-06-24,1000000.0,1000000.0,0
2024-06-25,1000000.0,1000000.0,0
2024-06-26,1000000.0,1000000.0,0
2024-06-27,1000000.0,1000000.0,0
2024-06-28,1000000.0,1000000.0,0
2024-07-01,1000000.0,1000000.0,0
2024-07-02,1000000.0,1000000.0,0
2024-07-03,1000000.0,1000000.0,0
2024-07-04,1000000.0,1000000.0,0
2024-07-05,1000000.0,1000000.0,0
2024-07-08,1000000.0,1000000.0,0
2024-07-09,1000000.0,1000000.0,0
2024-07-10,1000000.0,1000000.0,0
2024-07-11,1000000.0,1000000.0,0
2024-07-12,1000000.0,1000000.0,0
2024-07-15,1000000.0,1000000.0,0
2024-07-16,1000000.0,1000000.0,0
2024-07-17,1000000.0,1000000.0,0
2024-07-18,1000000.0,1000000.0,0
2024-07-19,1000000.0,1000000.0,0
2024-07-22,1000000.0,1000000.0,0
2024-07-23,1000000.0,1000000.0,0
2024-07-24,1000000.0,1000000.0,0
2024-07-25,1000000.0,1000000.0,0
2024-07-26,1000000.0,1000000.0,0
2024-07-29,1000000.0,1000000.0,0
2024-07-30,998700.0,0.0,5
2024-07-31,1042214.854559154,0.0,5
2024-08-01,1040566.4262995995,0.0,5
2024-08-02,1000286.4869193138,0.0,5
2024-08-05,942327.5728441656,0.0,5
2024-08-06,960040.1306515838,0.0,5
2024-08-07,974868.1350376562,0.0,5
2024-08-08,971711.3594678978,0.0,5
2024-08-09,956207.5945236944,0.0,5
2024-08-12,948790.1407580809,0.0,5
2024-08-13,960391.3291793779,0.0,5
2024-08-14,953451.2517093446,0.0,5
2024-08-15,961747.6271535383,0.0,5
2024-08-16,968741.0299985292,0.0,5
2024-08-19,971834.37992512,0.0,5
2024-08-20,956122.5814351775,0.0,5
2024-08-21,947445.7342332439,0.0,5
2024-08-22,939292.2415878354,0.0,5
2024-08-23,954852.496389266,0.0,5
2024-08-26,936326.5290242007,0.0,5
2024-08-27,928690.8512928968,169346.5362607512,4
2024-08-28,938382.2193244799,169346.5362607512,4
2024-08-29,945124.25732517,162941.2294709878,4
2024-08-30,967183.773357868,0.0,5
2024-09-02,939575.7064026704,0.0,5
2024-09-03,956699.8142114953,0.0,5
2024-09-04,950148.9713747876,0.0,5
2024-09-05,955952.0918976068,0.0,5
2024-09-06,928715.6579069744,0.0,5
2024-09-09,920088.4484308125,0.0,5
2024-09-10,954050.117103768,0.0,5
2024-09-11,962713.6942685049,0.0,5
2024-09-12,956989.2619018699,0.0,5
2024-09-13,937635.8467979353,0.0,5
2024-09-18,927796.2737955847,0.0,5
2024-09-19,943094.0546448373,0.0,5
2024-09-20,947185.2017161389,0.0,5
2024-09-23,953655.751601475,0.0,5
2024-09-24,979406.9893398647,0.0,5
2024-09-25,993221.521343251,0.0,5
2024-09-26,1024541.4404005028,0.0,5
2024-09-27,1086854.4964613467,0.0,5
2024-09-30,1241378.9652088743,0.0,5
2024-10-08,1416696.5107528376,0.0,5
2024-10-09,1279364.0560267838,0.0,5
2024-10-10,1230434.5771831742,0.0,5
2024-10-11,1155402.080751888,0.0,5
2024-10-14,1204061.71852719,0.0,5
2024-10-15,1181746.9095603423,0.0,5
2024-10-16,1164876.8431625173,479090.5934680454,3
2024-10-17,1197678.6317389505,479090.5934680454,3
2024-10-18,1229294.3461980799,678720.738008148,2
2024-10-21,1286924.6544289305,678720.738008148,2
2024-10-22,1318273.453542843,678720.738008148,2
2024-10-23,1361305.4980201547,678720.738008148,2
2024-10-24,1402263.0991401772,678720.738008148,2
2024-10-25,1406965.358722886,678720.738008148,2
2024-10-28,1442954.4681954705,986363.4966336132,1
2024-10-29,1429385.255152912,986363.4966336132,1
2024-10-30,1463895.4171698035,986363.4966336132,1
2024-10-31,1442367.3387849752,986363.4966336132,1
2024-11-01,1417577.4303418396,986363.4966336132,1
2024-11-04,1435582.732263696,986363.4966336132,1
2024-11-05,1477464.630212362,986363.4966336132,1
2024-11-06,1463895.4171698035,986363.4966336132,1
2024-11-07,1474985.6393680484,986363.4966336132,1
2024-11-08,1500101.7308170146,986363.4966336132,1
2024-11-11,1486662.9909767886,986363.4966336132,1
2024-11-12,1487054.4105837853,986363.4966336132,1
2024-11-13,1502841.6680659926,986363.4966336132,1
2024-11-14,1467157.2472281107,986363.4966336132,1
2024-11-15,1435191.3126566992,986363.4966336132,1
2024-11-18,1420252.1309896517,986363.4966336132,1
2024-11-19,1442106.3923803107,986363.4966336132,1
2024-11-20,1445683.6414052562,1445683.6414052562,0
2024-11-21,1445683.6414052562,1445683.6414052562,0
2024-11-22,1445683.6414052562,1445683.6414052562,0
2024-11-25,1445683.6414052562,1445683.6414052562,0
2024-11-26,1445683.6414052562,1445683.6414052562,0
2024-11-27,1445683.6414052562,1445683.6414052562,0
2024-11-28,1445683.6414052562,1445683.6414052562,0
2024-11-29,1445683.6414052562,1445683.6414052562,0
2024-12-02,1445683.6414052562,1445683.6414052562,0
2024-12-03,1445683.6414052562,1445683.6414052562,0
2024-12-04,1445683.6414052562,1445683.6414052562,0
2024-12-05,1445683.6414052562,1445683.6414052562,0
2024-12-06,1445307.763658491,1156546.913124205,1
2024-12-09,1441241.6639091228,1156546.913124205,1
2024-12-10,1442597.0304922457,1156546.913124205,1
2024-12-11,1444242.8327717516,1156546.913124205,1
2024-12-12,1443177.9018850124,1156546.913124205,1
2024-12-13,1448986.6158126811,1156546.913124205,1
2024-12-16,1438640.8463393883,868743.9150768351,2
2024-12-17,1422757.5635912854,868743.9150768351,2
2024-12-18,1414160.843692361,585838.1908500639,3
2024-12-19,1441134.2098930115,585838.1908500639,3
2024-12-20,1469729.360074489,291815.87303253356,4
2024-12-23,1463088.9351391147,0.0,5
2024-12-24,1471068.935502568,0.0,5
2024-12-25,1474166.758682006,0.0,5
2024-12-26,1534662.5551109514,0.0,5
2024-12-27,1575769.4256655828,0.0,5
2024-12-30,1596698.2286570934,0.0,5
2024-12-31,1522451.0627022437,0.0,5
2025-01-02,1450085.8195883434,0.0,5
2025-01-03,1372989.5515936716,0.0,5
2025-01-06,1301450.7400213014,254061.9160478457,4
2025-01-07,1340438.7114188806,254061.9160478457,4
2025-01-08,1338902.9643407136,0.0,5
2025-01-09,1357218.9680367035,0.0,5
2025-01-10,1327390.7525245477,0.0,5
2025-01-13,1311228.4522129393,0.0,5
2025-01-14,1379520.0050916586,0.0,5
2025-01-15,1362750.7275330294,0.0,5
2025-01-16,1373438.153626857,0.0,5
2025-01-17,1383191.982635827,0.0,5
2025-01-20,1395932.1687302284,0.0,5
2025-01-21,1405145.511269138,0.0,5
2025-01-22,1397490.101657667,0.0,5
2025-01-23,1385427.8026676069,0.0,5
2025-01-24,1414530.9389409139,0.0,5
2025-01-27,1370339.8191283103,0.0,5
2025-02-05,1397795.6151103824,0.0,5
2025-02-06,1486311.7863463762,0.0,5
2025-02-07,1483404.8991518072,0.0,5
2025-02-10,1506796.5396745463,0.0,5
2025-02-11,1478361.883666474,0.0,5
2025-02-12,1495002.788159923,0.0,5
2025-02-13,1455258.4507410605,0.0,5
2025-02-14,1460720.0075845863,0.0,5
2025-02-17,1480202.8997258097,0.0,5
2025-02-18,1432491.8492061435,555172.0401430246,3
2025-02-19,1449202.9925063597,555172.0401430246,3
2025-02-20,1445864.1909167538,555172.0401430246,3
2025-02-21,1504397.7801508484,555172.0401430246,3
2025-02-24,1558073.3923576795,555172.0401430246,3
2025-02-25,1539676.696917445,555172.0401430246,3
2025-02-26,1552189.862636638,555172.0401430246,3
2025-02-27,1573566.3645298204,555172.0401430246,3
2025-02-28,1503193.8123150868,555172.0401430246,3
2025-03-03,1467544.310205598,846288.4194880081,2
2025-03-04,1492462.7052850612,846288.4194880081,2
2025-03-05,1487240.495087276,1152227.363359178,1
2025-03-06,1496442.3829585123,1152227.363359178,1
2025-03-07,1524968.2353593446,1152227.363359178,1
2025-03-10,1529477.1604162503,1152227.363359178,1
2025-03-11,1525520.3486316188,1152227.363359178,1
2025-03-12,1525520.3486316188,1152227.363359178,1
2025-03-13,1514017.9887925736,1152227.363359178,1
2025-03-14,1549629.2948542577,1152227.363359178,1
2025-03-17,1553954.1821537386,1152227.363359178,1
2025-03-18,1540519.425861734,1152227.363359178,1
2025-03-19,1537022.708470664,1152227.363359178,1
2025-03-20,1527360.726205866,1152227.363359178,1
2025-03-21,1515490.2908519711,1152227.363359178,1
2025-03-24,1499027.5788206442,1499027.5788206442,0
2025-03-25,1499027.5788206442,1499027.5788206442,0
2025-03-26,1499027.5788206442,1499027.5788206442,0
2025-03-27,1499027.5788206442,1499027.5788206442,0
2025-03-28,1499027.5788206442,1499027.5788206442,0
2025-03-31,1499027.5788206442,1499027.5788206442,0
2025-04-01,1499027.5788206442,1499027.5788206442,0
2025-04-02,1499027.5788206442,1499027.5788206442,0
2025-04-03,1499027.5788206442,1499027.5788206442,0
2025-04-07,1499027.5788206442,1499027.5788206442,0
2025-04-08,1499027.5788206442,1499027.5788206442,0
2025-04-09,1499027.5788206442,1499027.5788206442,0
2025-04-10,1497858.3373091638,599611.0315282575,3
2025-04-11,1506702.7075900799,0.0,5
2025-04-14,1516546.8232695453,0.0,5
2025-04-15,1508288.0921661605,0.0,5
2025-04-16,1489709.324266045,0.0,5
2025-04-17,1480163.9941374306,0.0,5
2025-04-18,1490494.8219774428,0.0,5
2025-04-21,1531934.1944396542,0.0,5
2025-04-22,1512525.2814361567,0.0,5
2025-04-23,1532423.1863681017,0.0,5
2025-04-24,1509721.3046995485,0.0,5
2025-04-25,1540841.2354954665,0.0,5
2025-04-28,1545552.9838479026,0.0,5
2025-04-29,1527419.6099351032,0.0,5
2025-04-30,1552544.6549279217,0.0,5
2025-05-06,1604448.4654857377,0.0,5
2025-05-07,1602994.5517981315,0.0,5
2025-05-08,1637463.694172534,0.0,5
2025-05-09,1606268.8216573151,0.0,5
2025-05-12,1628869.4006291812,0.0,5
2025-05-13,1611229.4770543156,0.0,5
2025-05-14,1621310.2201430239,0.0,5
2025-05-15,1571333.8512046495,0.0,5
2025-05-16,1572960.8157771397,0.0,5
2025-05-19,1549690.9988835875,0.0,5
2025-05-20,1561629.7723759203,286824.94136898674,4
2025-05-21,1548812.6681480152,286824.94136898674,4
2025-05-22,1600476.5026666326,594766.8816849086,3
2025-05-23,1582380.1832075736,594766.8816849086,3
2025-05-26,1593751.4329340712,907095.5431217498,2
2025-05-27,1579860.725799674,1212748.3641076768,1
2025-05-28,1558289.2710238378,1212748.3641076768,1
2025-05-29,1560269.2785264698,900613.3532995728,2
