code,name,segment,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,stop_mode
002156,通富微电,先进封装/封测,2024-07-30,2024-08-20,22.04,20.18,-8.44,15,stop,atr2
002409,雅克科技,HBM,2024-07-30,2024-08-22,55.85,50.21,-10.1,17,stop,atr2
301191,菲菱科思,交换机/网络设备,2024-07-30,2024-08-26,44.14,39.74,-9.96,19,stop,atr2
300570,太辰光,CPO,2024-07-30,2024-08-27,30.02,27.19,-9.43,20,stop,atr2
002837,英维克,液冷/散热,2024-09-02,2024-09-06,12.66,11.73,-7.34,4,stop,atr2
000938,紫光股份(新华三),交换机/网络设备,2024-08-30,2024-09-09,19.6,18.49,-5.66,6,stop,atr2
002396,星网锐捷,交换机/网络设备,2024-07-30,2024-10-16,9.35,11.54,23.39,49,indicator,atr2
002230,科大讯飞,大模型/AI应用/AIGC,2024-08-26,2024-10-28,33.9,45.55,34.37,38,indicator,atr2
300624,万兴科技,大模型/AI应用/AIGC,2024-08-29,2024-10-28,39.82,64.96,63.13,35,indicator,atr2
300570,太辰光,CPO,2024-09-11,2024-11-20,27.17,70.5,159.48,43,indicator,atr2
300757,罗博特科,CPO,2024-09-11,2024-11-20,76.45,193.84,153.54,43,indicator,atr2
300475,香农芯创,HBM,2024-12-06,2025-01-03,29.83,26.66,-10.63,19,stop,atr2
301191,菲菱科思,交换机/网络设备,2024-12-20,2025-01-03,64.87,57.82,-10.87,9,stop,atr2
600584,长电科技,先进封装/封测,2024-12-23,2025-01-03,38.78,36.11,-6.88,8,stop,atr2
300757,罗博特科,CPO,2024-12-16,2025-01-10,182.84,152.97,-16.34,18,stop,atr2
000938,紫光股份(新华三),交换机/网络设备,2024-12-18,2025-01-13,25.88,23.87,-7.77,17,stop,atr2
002409,雅克科技,HBM,2025-01-08,2025-02-18,55.47,57.7,4.02,23,indicator,atr2
603005,晶方科技,先进封装/封测,2025-01-09,2025-03-06,26.23,35.53,35.46,34,indicator,atr2
002156,通富微电,先进封装/封测,2025-01-10,2025-03-06,27.82,29.24,5.1,33,indicator,atr2
603186,华正新材,覆铜板CCL,2025-01-09,2025-03-24,24.4,25.78,5.66,46,indicator,atr2
300475,香农芯创,HBM,2025-01-14,2025-03-24,27.99,37.74,34.84,43,indicator,atr2
000938,紫光股份(新华三),交换机/网络设备,2025-04-11,2025-05-20,25.55,24.37,-4.62,24,indicator,atr2
300570,太辰光,CPO,2025-04-10,2025-05-22,66.41,68.39,2.98,27,indicator,atr2
002230,科大讯飞,大模型/AI应用/AIGC,2025-04-10,2025-05-26,44.06,46.02,4.45,29,indicator,atr2
002396,星网锐捷,交换机/网络设备,2025-04-11,2025-05-27,13.77,14.16,2.8,29,indicator,atr2
300418,昆仑万维,大模型/AI应用/AIGC,2025-04-10,2025-06-05,30.12,34.48,14.48,36,indicator,atr2
300757,罗博特科,CPO,2025-06-06,2025-06-17,144.47,132.06,-8.59,7,stop,atr2
301191,菲菱科思,交换机/网络设备,2025-05-29,2025-07-07,54.51,57.54,5.57,26,indicator,atr2
002185,华天科技,先进封装/封测,2025-06-18,2025-08-06,8.94,10.16,13.65,35,indicator,atr2
301018,申菱环境,液冷/散热,2025-06-20,2025-10-13,24.61,47.91,94.69,75,indicator,atr2
300624,万兴科技,大模型/AI应用/AIGC,2025-09-25,2025-10-16,75.28,68.49,-9.02,9,stop,atr2
002156,通富微电,先进封装/封测,2025-06-19,2025-10-27,23.72,43.86,84.91,86,indicator,atr2
300570,太辰光,CPO,2025-10-23,2025-11-14,101.03,88.9,-12.01,16,stop,atr2
002409,雅克科技,HBM,2025-06-24,2025-11-19,52.68,71.57,35.86,100,indicator,atr2
301191,菲菱科思,交换机/网络设备,2025-10-29,2025-11-20,71.33,61.97,-13.12,16,stop,atr2
002396,星网锐捷,交换机/网络设备,2025-10-28,2025-11-21,21.01,18.54,-11.77,18,stop,atr2
300624,万兴科技,大模型/AI应用/AIGC,2025-10-28,2025-12-04,69.43,69.15,-0.4,27,indicator,atr2
300418,昆仑万维,大模型/AI应用/AIGC,2025-11-24,2025-12-16,43.16,37.88,-12.23,16,stop,atr2
300570,太辰光,CPO,2025-11-25,2025-12-23,97.06,118.8,22.4,20,indicator,atr2
002837,英维克,液冷/散热,2025-11-14,2026-01-08,53.85,77.99,44.84,37,indicator,atr2
301165,锐捷网络,交换机/网络设备,2025-11-24,2026-01-13,49.32,58.92,19.47,34,indicator,atr2
000938,紫光股份(新华三),交换机/网络设备,2025-12-23,2026-01-26,24.62,25.93,5.32,22,indicator,atr2
002409,雅克科技,HBM,2025-12-04,2026-01-28,70.09,97.68,39.36,37,indicator,atr2
002156,通富微电,先进封装/封测,2025-12-22,2026-02-03,37.11,50.81,36.92,29,indicator,atr2
300475,香农芯创,HBM,2026-02-27,2026-03-27,148.98,143.96,-3.37,20,indicator,atr2
300418,昆仑万维,大模型/AI应用/AIGC,2026-03-27,2026-04-29,51.19,50.18,-1.97,22,indicator,atr2
300624,万兴科技,大模型/AI应用/AIGC,2026-03-27,2026-05-18,68.7,66.86,-2.68,32,indicator,atr2
000938,紫光股份(新华三),交换机/网络设备,2026-03-11,2026-05-26,25.16,28.84,14.58,50,indicator,atr2
603186,华正新材,覆铜板CCL,2026-04-07,2026-06-04,66.15,123.57,86.8,39,indicator,atr2
