code,name,segment,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,stop_mode
002409,雅克科技,HBM,2024-07-30,2024-08-05,55.85,50.9,-8.86,4,stop,fixed_8pct
002156,通富微电,先进封装/封测,2024-07-30,2024-08-20,22.04,20.18,-8.44,15,stop,fixed_8pct
301191,菲菱科思,交换机/网络设备,2024-07-30,2024-08-26,44.14,39.74,-9.96,19,stop,fixed_8pct
300570,太辰光,CPO,2024-07-30,2024-08-27,30.02,27.19,-9.43,20,stop,fixed_8pct
600183,生益科技,覆铜板CCL,2024-08-14,2024-09-06,16.9,15.51,-8.22,17,stop,fixed_8pct
002396,星网锐捷,交换机/网络设备,2024-07-30,2024-10-16,9.35,11.54,23.39,49,indicator,fixed_8pct
002230,科大讯飞,大模型/AI应用/AIGC,2024-08-26,2024-10-28,33.9,45.55,34.37,38,indicator,fixed_8pct
300624,万兴科技,大模型/AI应用/AIGC,2024-08-29,2024-10-28,39.82,64.96,63.13,35,indicator,fixed_8pct
300570,太辰光,CPO,2024-09-11,2024-11-20,27.17,70.5,159.48,43,indicator,fixed_8pct
000938,紫光股份(新华三),交换机/网络设备,2024-08-30,2024-11-21,19.6,25.84,31.84,52,indicator,fixed_8pct
300757,罗博特科,CPO,2024-12-16,2024-12-18,182.84,167.81,-8.22,2,stop,fixed_8pct
300475,香农芯创,HBM,2024-12-06,2025-01-02,29.83,27.11,-9.12,18,stop,fixed_8pct
301191,菲菱科思,交换机/网络设备,2024-12-20,2025-01-03,64.87,57.82,-10.87,9,stop,fixed_8pct
300757,罗博特科,CPO,2024-12-23,2025-01-06,197.22,159.96,-18.89,9,stop,fixed_8pct
600584,长电科技,先进封装/封测,2024-12-23,2025-01-06,38.78,35.41,-8.69,9,stop,fixed_8pct
000938,紫光股份(新华三),交换机/网络设备,2024-12-18,2025-01-16,25.88,25.05,-3.21,20,indicator,fixed_8pct
002409,雅克科技,HBM,2025-01-08,2025-02-18,55.47,57.7,4.02,23,indicator,fixed_8pct
002230,科大讯飞,大模型/AI应用/AIGC,2025-01-16,2025-03-03,48.06,51.36,6.87,26,indicator,fixed_8pct
603005,晶方科技,先进封装/封测,2025-01-09,2025-03-06,26.23,35.53,35.46,34,indicator,fixed_8pct
002156,通富微电,先进封装/封测,2025-01-10,2025-03-06,27.82,29.24,5.1,33,indicator,fixed_8pct
603186,华正新材,覆铜板CCL,2025-01-09,2025-03-24,24.4,25.78,5.66,46,indicator,fixed_8pct
