code,name,segment,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,stop_mode
002156,通富微电,先进封装/封测,2024-07-30,2024-08-27,22.04,18.71,-15.11,20,indicator,none
300570,太辰光,CPO,2024-07-30,2024-08-29,30.02,27.49,-8.43,22,indicator,none
002409,雅克科技,HBM,2024-07-30,2024-09-11,55.85,49.69,-11.03,31,indicator,none
002396,星网锐捷,交换机/网络设备,2024-07-30,2024-10-16,9.35,11.54,23.39,49,indicator,none
301191,菲菱科思,交换机/网络设备,2024-07-30,2024-10-16,44.14,51.55,16.78,49,indicator,none
601360,三六零,大模型/AI应用/AIGC,2024-08-30,2024-10-18,6.7,8.23,22.84,28,indicator,none
300624,万兴科技,大模型/AI应用/AIGC,2024-08-29,2024-10-28,39.82,64.96,63.13,35,indicator,none
300570,太辰光,CPO,2024-09-11,2024-11-20,27.17,70.5,159.48,43,indicator,none
300475,香农芯创,HBM,2024-12-06,2025-01-06,29.83,26.28,-11.9,20,indicator,none
300757,罗博特科,CPO,2024-12-16,2025-01-14,182.84,164.25,-10.17,20,indicator,none
000938,紫光股份(新华三),交换机/网络设备,2024-12-18,2025-01-16,25.88,25.05,-3.21,20,indicator,none
600584,长电科技,先进封装/封测,2024-12-23,2025-02-18,38.78,38.85,0.18,34,indicator,none
002409,雅克科技,HBM,2025-01-08,2025-02-18,55.47,57.7,4.02,23,indicator,none
002230,科大讯飞,大模型/AI应用/AIGC,2025-01-16,2025-03-03,48.06,51.36,6.87,26,indicator,none
301191,菲菱科思,交换机/网络设备,2024-12-20,2025-03-05,64.87,67.67,4.32,46,indicator,none
300475,香农芯创,HBM,2025-01-14,2025-03-24,27.99,37.74,34.84,43,indicator,none
000938,紫光股份(新华三),交换机/网络设备,2025-04-11,2025-05-20,25.55,24.37,-4.62,24,indicator,none
300570,太辰光,CPO,2025-04-10,2025-05-22,66.41,68.39,2.98,27,indicator,none
002230,科大讯飞,大模型/AI应用/AIGC,2025-04-10,2025-05-26,44.06,46.02,4.45,29,indicator,none
002396,星网锐捷,交换机/网络设备,2025-04-11,2025-05-27,13.77,14.16,2.8,29,indicator,none
300418,昆仑万维,大模型/AI应用/AIGC,2025-04-10,2025-06-05,30.12,34.48,14.48,36,indicator,none
301191,菲菱科思,交换机/网络设备,2025-05-29,2025-07-07,54.51,57.54,5.57,26,indicator,none
002185,华天科技,先进封装/封测,2025-06-18,2025-08-06,8.94,10.16,13.65,35,indicator,none
300757,罗博特科,CPO,2025-06-06,2025-10-10,144.47,242.0,67.51,84,indicator,none
301018,申菱环境,液冷/散热,2025-06-20,2025-10-13,24.61,47.91,94.69,75,indicator,none
002156,通富微电,先进封装/封测,2025-06-19,2025-10-27,23.72,43.86,84.91,86,indicator,none
300624,万兴科技,大模型/AI应用/AIGC,2025-09-25,2025-11-14,75.28,66.89,-11.15,30,indicator,none
002272,川润股份,液冷/散热,2025-10-29,2025-11-26,16.11,14.04,-12.85,20,indicator,none
300570,太辰光,CPO,2025-10-23,2025-12-23,101.03,118.8,17.59,43,indicator,none
301191,菲菱科思,交换机/网络设备,2025-10-29,2026-01-06,71.33,79.39,11.3,47,indicator,none
002837,英维克,液冷/散热,2025-11-14,2026-01-08,53.85,77.99,44.84,37,indicator,none
002396,星网锐捷,交换机/网络设备,2025-10-28,2026-01-09,21.01,23.93,13.93,51,indicator,none
002272,川润股份,液冷/散热,2025-11-26,2026-01-16,14.04,16.4,16.81,35,indicator,none
002185,华天科技,先进封装/封测,2025-12-23,2026-02-09,10.92,14.07,28.85,32,indicator,none
300475,香农芯创,HBM,2026-02-27,2026-03-27,148.98,143.96,-3.37,20,indicator,none
300418,昆仑万维,大模型/AI应用/AIGC,2026-03-27,2026-04-29,51.19,50.18,-1.97,22,indicator,none
300624,万兴科技,大模型/AI应用/AIGC,2026-03-27,2026-05-18,68.7,66.86,-2.68,32,indicator,none
000938,紫光股份(新华三),交换机/网络设备,2026-03-11,2026-05-26,25.16,28.84,14.58,50,indicator,none
603186,华正新材,覆铜板CCL,2026-04-07,2026-06-04,66.15,123.57,86.8,39,indicator,none
