strategy,threshold,hold_days,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,bh_return,vs_bh,confirm_days,cooldown_days
low_kdj_fixed_hold,10,5,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,787.14,-787.14,,
low_kdj_fixed_hold,10,10,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,787.14,-787.14,,
low_kdj_fixed_hold,10,20,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,787.14,-787.14,,
low_kdj_fixed_hold,10,30,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,787.14,-787.14,,
low_kdj_fixed_hold,15,5,300308,中际旭创,光模块,4,25.0,-2.13,-11.53,-0.18,-0.24,787.14,-789.27,,
low_kdj_fixed_hold,15,10,300308,中际旭创,光模块,4,50.0,2.7,-13.56,0.2,1.44,787.14,-784.44,,
low_kdj_fixed_hold,15,20,300308,中际旭创,光模块,3,33.33,6.68,-18.95,0.35,3.58,787.14,-780.46,,
low_kdj_fixed_hold,15,30,300308,中际旭创,光模块,3,66.67,61.26,-21.79,2.81,20.61,787.14,-725.88,,
low_kdj_fixed_hold,20,5,300308,中际旭创,光模块,5,40.0,6.31,-11.53,0.55,1.58,787.14,-780.83,,
low_kdj_fixed_hold,20,10,300308,中际旭创,光模块,5,40.0,-3.16,-25.94,-0.12,0.06,787.14,-790.3,,
low_kdj_fixed_hold,20,20,300308,中际旭创,光模块,4,25.0,4.19,-30.07,0.14,2.16,787.14,-782.95,,
low_kdj_fixed_hold,20,30,300308,中际旭创,光模块,3,66.67,61.26,-21.79,2.81,20.61,787.14,-725.88,,
low_kdj_fixed_hold,25,5,300308,中际旭创,光模块,6,33.33,-0.77,-11.53,-0.07,0.25,787.14,-787.91,,
low_kdj_fixed_hold,25,10,300308,中际旭创,光模块,6,33.33,-12.67,-25.94,-0.49,-1.54,787.14,-799.81,,
low_kdj_fixed_hold,25,20,300308,中际旭创,光模块,4,0.0,-41.05,-46.58,-0.88,-11.49,787.14,-828.19,,
low_kdj_fixed_hold,25,30,300308,中际旭创,光模块,3,33.33,5.26,-45.39,0.12,7.13,787.14,-781.88,,
low_kdj_fixed_hold,30,5,300308,中际旭创,光模块,7,28.57,-9.79,-19.45,-0.5,-1.05,787.14,-796.93,,
low_kdj_fixed_hold,30,10,300308,中际旭创,光模块,7,28.57,-16.19,-27.17,-0.6,-1.86,787.14,-803.33,,
low_kdj_fixed_hold,30,20,300308,中际旭创,光模块,5,20.0,-39.72,-46.69,-0.85,-8.68,787.14,-826.86,,
low_kdj_fixed_hold,30,30,300308,中际旭创,光模块,4,50.0,38.06,-45.39,0.84,13.22,787.14,-749.08,,
tianma_signal_exit,20,-1,300308,中际旭创,光模块,7,14.29,9.48,-34.41,0.28,2.57,787.14,-777.66,1.0,0.0
