strategy,threshold,hold_days,confirm_days,cooldown_days,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
tianma_signal_exit,20,-1,3.0,0.0,61,61,323,53.87,52,14,39.96,-21.85,2.01,-184.04
low_kdj_fixed_hold,20,30,,,61,61,244,62.3,49,13,32.97,-21.56,1.92,-145.85
tianma_signal_exit,20,-1,3.0,3.0,61,61,312,53.53,51,14,36.45,-21.85,1.85,-184.04
tianma_signal_exit,20,-1,3.0,5.0,61,61,295,53.56,48,13,35.16,-21.85,1.77,-191.83
low_kdj_fixed_hold,30,30,,,61,61,319,59.56,51,12,39.69,-27.17,1.69,-152.73
tianma_signal_exit,20,-1,3.0,10.0,61,61,269,53.53,46,13,34.18,-21.85,1.62,-191.83
low_kdj_fixed_hold,10,30,,,61,52,99,80.81,48,12,22.05,-13.78,1.59,-179.11
low_kdj_fixed_hold,20,20,,,61,61,257,62.65,53,9,29.52,-20.64,1.41,-200.0
low_kdj_fixed_hold,15,20,,,61,59,188,67.55,48,11,19.37,-17.8,1.35,-161.55
low_kdj_fixed_hold,25,20,,,61,61,310,59.03,50,10,33.39,-22.39,1.34,-193.83
low_kdj_fixed_hold,25,30,,,61,61,285,60.7,50,12,32.97,-22.68,1.33,-143.29
low_kdj_fixed_hold,15,30,,,61,59,181,66.3,49,13,27.51,-19.2,1.32,-138.03
tianma_signal_exit,20,-1,2.0,0.0,61,61,346,47.11,50,13,23.05,-22.87,1.2,-191.6
tianma_signal_exit,20,-1,1.0,0.0,61,61,368,45.65,44,12,21.52,-19.79,1.1,-189.97
low_kdj_fixed_hold,30,20,,,61,61,351,55.27,50,12,30.58,-24.62,1.09,-173.11
low_kdj_fixed_hold,10,20,,,61,52,101,75.25,48,9,13.35,-10.84,0.95,-192.96
tianma_signal_exit,20,-1,2.0,3.0,61,61,326,46.32,45,13,22.76,-22.67,0.9,-191.6
tianma_signal_exit,20,-1,2.0,5.0,61,61,309,46.28,43,11,19.34,-22.72,0.78,-191.6
tianma_signal_exit,20,-1,1.0,3.0,61,61,342,44.44,41,12,17.67,-19.13,0.76,-185.92
tianma_signal_exit,20,-1,1.0,5.0,61,61,328,44.82,40,10,15.85,-18.32,0.72,-185.92
tianma_signal_exit,20,-1,2.0,10.0,61,61,279,44.44,39,11,9.52,-20.24,0.56,-207.34
tianma_signal_exit,20,-1,1.0,10.0,61,61,291,43.64,38,10,10.0,-17.43,0.54,-201.81
low_kdj_fixed_hold,20,10,,,61,61,308,51.3,36,8,3.72,-18.88,0.27,-221.96
low_kdj_fixed_hold,15,10,,,61,59,217,53.46,34,8,2.59,-13.94,0.2,-197.41
low_kdj_fixed_hold,25,10,,,61,61,378,49.74,31,6,0.03,-21.08,0.0,-219.7
low_kdj_fixed_hold,10,5,,,61,53,124,43.55,25,5,0.0,-5.24,0.0,-194.02
low_kdj_fixed_hold,10,10,,,61,53,111,54.05,29,7,0.0,-8.62,0.0,-214.14
low_kdj_fixed_hold,30,10,,,61,61,435,48.97,29,5,-0.87,-22.78,-0.04,-219.7
low_kdj_fixed_hold,25,5,,,61,61,428,43.69,29,3,-0.76,-15.94,-0.07,-185.63
low_kdj_fixed_hold,15,5,,,61,59,241,41.91,26,5,-0.92,-8.75,-0.18,-187.09
low_kdj_fixed_hold,20,5,,,61,61,348,44.54,28,3,-1.42,-13.6,-0.23,-180.54
low_kdj_fixed_hold,30,5,,,61,61,497,43.06,25,3,-5.8,-20.88,-0.3,-195.62
