period,strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
full,exit_hold_line_disappear,300308,中际旭创,光模块,6,33.33,15.82,-40.96,0.39,4.44,12.2,787.14,-771.32
full,exit_shou_cang_disappear,300308,中际旭创,光模块,5,40.0,-19.66,-22.72,-0.87,-3.86,5.6,787.14,-806.8
full,exit_mu_ma_disappear,300308,中际旭创,光模块,6,16.67,-29.13,-30.85,-0.94,-5.15,5.8,787.14,-816.27
full,exit_cao_pan_disappear,300308,中际旭创,光模块,6,66.67,0.12,-7.7,0.02,0.36,3.0,787.14,-787.02
full,exit_trend_down,300308,中际旭创,光模块,0,0.0,844.05,-61.89,0.0,0.0,0.0,787.14,56.91
full,exit_hold_or_trend_down,300308,中际旭创,光模块,6,33.33,15.82,-40.96,0.39,4.44,12.2,787.14,-771.32
full,exit_mu_ma_or_hold,300308,中际旭创,光模块,6,16.67,-29.13,-30.85,-0.94,-5.15,5.8,787.14,-816.27
full,exit_cao_pan_or_hold,300308,中际旭创,光模块,6,66.67,0.12,-7.7,0.02,0.36,3.0,787.14,-787.02
full,exit_shou_cang_or_hold,300308,中际旭创,光模块,6,50.0,-7.21,-13.68,-0.53,-0.91,4.0,787.14,-794.35
first_half,exit_hold_line_disappear,300308,中际旭创,光模块,6,33.33,15.82,-40.96,0.39,4.44,12.2,-0.32,16.14
first_half,exit_shou_cang_disappear,300308,中际旭创,光模块,5,40.0,-19.66,-22.72,-0.87,-3.86,5.6,-0.32,-19.34
first_half,exit_mu_ma_disappear,300308,中际旭创,光模块,6,16.67,-29.13,-30.85,-0.94,-5.15,5.8,-0.32,-28.81
first_half,exit_cao_pan_disappear,300308,中际旭创,光模块,6,66.67,0.12,-7.7,0.02,0.36,3.0,-0.32,0.44
first_half,exit_trend_down,300308,中际旭创,光模块,0,0.0,6.32,-61.89,0.0,0.0,0.0,-0.32,6.64
first_half,exit_hold_or_trend_down,300308,中际旭创,光模块,6,33.33,15.82,-40.96,0.39,4.44,12.2,-0.32,16.14
first_half,exit_mu_ma_or_hold,300308,中际旭创,光模块,6,16.67,-29.13,-30.85,-0.94,-5.15,5.8,-0.32,-28.81
first_half,exit_cao_pan_or_hold,300308,中际旭创,光模块,6,66.67,0.12,-7.7,0.02,0.36,3.0,-0.32,0.44
first_half,exit_shou_cang_or_hold,300308,中际旭创,光模块,6,50.0,-7.21,-13.68,-0.53,-0.91,4.0,-0.32,-6.89
second_half,exit_hold_line_disappear,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_shou_cang_disappear,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_mu_ma_disappear,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_cao_pan_disappear,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_trend_down,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_hold_or_trend_down,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_mu_ma_or_hold,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_cao_pan_or_hold,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
second_half,exit_shou_cang_or_hold,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-422.82
full,exit_hold_line_disappear,002916,深南电路,PCB,4,75.0,50.61,-9.97,5.08,12.24,15.8,459.92,-409.31
full,exit_shou_cang_disappear,002916,深南电路,PCB,4,75.0,48.25,-11.38,4.24,13.41,12.5,459.92,-411.67
