period,strategy,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
full,exit_shou_cang_disappear,61,61,330,49.09,42,9,14.03,-19.77,1.02,-194.14
full,exit_hold_line_disappear,61,61,309,46.28,43,11,19.34,-22.72,0.78,-195.91
full,exit_hold_or_trend_down,61,61,309,46.28,43,11,19.34,-22.72,0.78,-191.6
first_half,exit_hold_line_disappear,61,60,167,49.1,39,24,8.73,-17.94,0.64,-25.77
first_half,exit_hold_or_trend_down,61,60,167,49.1,39,24,8.73,-17.64,0.64,-25.29
full,exit_mu_ma_disappear,61,61,345,38.55,39,7,9.76,-18.93,0.54,-202.79
full,exit_mu_ma_or_hold,61,61,345,38.55,37,8,10.64,-18.86,0.51,-208.28
first_half,exit_shou_cang_disappear,61,60,173,42.77,34,18,4.99,-17.74,0.48,-20.76
full,exit_shou_cang_or_hold,61,61,346,45.38,33,8,4.1,-17.26,0.25,-197.08
second_half,exit_shou_cang_or_hold,61,56,144,50.69,33,13,0.98,-9.04,0.21,-72.08
second_half,exit_shou_cang_disappear,61,55,138,52.17,33,13,0.48,-11.4,0.18,-65.89
second_half,exit_mu_ma_or_hold,61,56,140,41.43,32,14,1.73,-11.25,0.15,-72.08
second_half,exit_mu_ma_disappear,61,56,140,41.43,31,13,0.74,-12.87,0.08,-72.08
first_half,exit_mu_ma_disappear,61,60,188,35.64,31,17,0.24,-15.17,0.07,-36.9
second_half,exit_hold_line_disappear,61,56,125,39.2,32,13,0.93,-13.41,0.06,-63.97
second_half,exit_hold_or_trend_down,61,56,125,39.2,32,13,0.93,-13.23,0.06,-63.97
full,exit_trend_down,61,0,0,0.0,57,37,188.3,-38.87,0.0,12.48
first_half,exit_trend_down,61,0,0,0.0,53,37,32.59,-37.83,0.0,6.64
second_half,exit_trend_down,61,0,0,0.0,39,16,18.84,-26.54,0.0,-26.71
first_half,exit_mu_ma_or_hold,61,60,188,35.64,30,17,0.0,-14.61,0.0,-38.08
second_half,exit_cao_pan_disappear,61,55,142,49.3,27,14,0.0,-7.67,0.0,-72.08
second_half,exit_cao_pan_or_hold,61,56,144,50.0,28,14,0.0,-6.47,0.0,-72.08
first_half,exit_shou_cang_or_hold,61,60,185,39.46,29,16,-0.53,-14.38,-0.17,-35.66
full,exit_cao_pan_disappear,61,61,350,42.86,29,5,-1.28,-18.04,-0.21,-199.96
full,exit_cao_pan_or_hold,61,61,352,43.18,28,5,-1.28,-14.74,-0.21,-217.37
first_half,exit_cao_pan_disappear,61,60,191,37.7,23,10,-3.18,-11.32,-0.51,-40.64
first_half,exit_cao_pan_or_hold,61,60,191,37.7,23,10,-3.18,-10.78,-0.51,-40.64
