strategy,basket_regime,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
obs_then_wait_caopan_15d,basket_down,59,56,113,45.13,46,40,22.8,-20.78,1.17,20.59
obs_then_wait_caopan_10d,basket_down,59,54,106,46.23,46,39,23.87,-19.68,1.11,23.02
obs_direct,basket_down,59,57,155,43.87,49,44,26.96,-25.28,1.04,19.0
obs_direct_wait0,basket_down,59,57,155,43.87,49,44,26.96,-25.28,1.04,19.0
obs_then_wait_muma_10d,basket_down,59,57,152,46.71,47,43,25.19,-24.83,1.02,18.2
obs_then_wait_muma_15d,basket_down,59,57,152,46.71,47,43,25.19,-24.83,1.02,18.2
obs_then_wait_muma_5d,basket_down,59,57,152,46.71,47,43,25.19,-24.83,1.02,18.2
obs_direct,basket_bull,125,117,235,65.11,84,34,13.78,-17.26,0.87,-50.09
obs_direct_wait0,basket_bull,125,117,235,65.11,84,34,13.78,-17.26,0.87,-50.09
obs_then_wait_rs20_basket_15d,basket_bull,125,107,141,75.18,86,34,9.4,-11.38,0.8,-62.55
obs_then_wait_ma20_15d,basket_down,59,56,140,45.71,48,41,24.15,-24.82,0.78,17.54
obs_then_wait_ma20_10d,basket_down,59,56,140,45.71,48,40,23.7,-24.82,0.78,17.25
obs_then_wait_muma_10d,basket_bull,125,117,233,65.24,88,34,14.08,-17.08,0.77,-51.15
obs_then_wait_muma_15d,basket_bull,125,117,233,65.24,88,34,14.08,-17.08,0.77,-51.15
obs_then_wait_muma_5d,basket_bull,125,117,227,67.4,88,34,14.08,-17.08,0.77,-51.15
obs_then_wait_ma20_5d,basket_down,59,54,132,46.21,47,40,24.15,-24.65,0.71,13.35
obs_then_wait_rs20_segment_10d,basket_down,59,55,118,49.15,49,40,22.91,-24.6,0.68,18.12
obs_then_wait_cxhzb_15d,basket_bull,125,112,197,58.38,71,29,6.89,-14.97,0.55,-67.8
obs_then_wait_rs20_basket_5d,basket_down,59,50,84,48.81,45,40,23.53,-20.22,0.54,15.4
obs_then_wait_rs20_basket_15d,basket_down,59,55,121,42.97,44,39,19.36,-25.21,0.54,12.39
obs_then_wait_ma20_rs20_segment_15d,basket_down,59,53,108,45.37,41,37,25.47,-23.38,0.53,11.17
obs_then_wait_rs20_segment_15d,basket_down,59,56,126,46.82,47,37,19.36,-25.41,0.5,16.51
obs_then_wait_rs20_segment_5d,basket_down,59,53,99,51.51,45,39,20.07,-23.02,0.49,16.9
obs_then_wait_rs20_segment_15d,basket_bull,125,113,204,64.71,75,31,5.12,-17.01,0.49,-52.5
obs_then_wait_rs20_basket_10d,basket_down,59,55,115,43.48,44,39,15.56,-24.39,0.48,12.39
obs_then_wait_ma20_rs20_segment_10d,basket_down,59,50,95,50.53,45,38,25.47,-21.32,0.44,11.17
obs_then_wait_ma20_10d,basket_bull,125,116,222,68.47,88,33,8.39,-16.19,0.43,-54.34
obs_then_wait_ma20_15d,basket_bull,125,117,225,67.11,87,32,8.39,-16.19,0.43,-52.61
obs_then_wait_ma20_5d,basket_bull,125,114,205,68.29,84,32,8.39,-15.75,0.43,-54.34
obs_then_wait_ma20_15d,basket_neutral,992,980,2282,55.65,602,516,6.18,-19.13,0.36,2.01
obs_then_wait_ma20_10d,basket_neutral,992,959,2173,55.59,593,516,6.05,-18.71,0.34,2.03
obs_then_wait_muma_10d,basket_neutral,992,980,2385,54.72,583,487,6.18,-20.42,0.32,-0.65
obs_then_wait_muma_15d,basket_neutral,992,980,2388,54.77,585,487,6.18,-20.45,0.32,-0.65
obs_then_wait_ma20_5d,basket_neutral,992,921,1911,56.67,593,509,5.54,-17.09,0.32,1.1
obs_then_wait_muma_5d,basket_neutral,992,966,2288,54.46,580,484,6.11,-19.91,0.29,-0.92
obs_direct,basket_neutral,992,980,2410,54.73,587,502,5.48,-21.62,0.29,0.49
obs_direct_wait0,basket_neutral,992,980,2410,54.73,587,502,5.48,-21.62,0.29,0.49
obs_then_wait_rs20_basket_10d,basket_bull,125,95,118,78.81,75,36,3.03,-9.65,0.27,-65.33
obs_then_wait_rs20_segment_10d,basket_bull,125,111,190,64.21,77,28,4.65,-15.9,0.25,-65.7
obs_then_wait_cxhzb_15d,basket_down,59,55,114,32.46,34,31,5.89,-18.76,0.23,0.31
obs_then_wait_caopan_15d,basket_neutral,992,956,1934,55.27,575,494,3.06,-16.92,0.23,-0.23
obs_then_wait_caopan_15d,basket_bull,125,115,205,60.49,72,33,4.41,-15.41,0.22,-62.06
obs_then_wait_caopan_10d,basket_bull,125,112,189,61.9,73,33,4.1,-14.97,0.22,-69.05
obs_then_wait_ma20_rs20_segment_5d,basket_down,59,46,75,50.67,43,35,16.55,-17.68,0.21,10.48
obs_then_wait_rs20_segment_15d,basket_neutral,992,956,2053,54.21,552,471,3.34,-19.34,0.18,-1.89
obs_then_wait_rs20_segment_10d,basket_neutral,992,940,1871,54.3,556,465,3.33,-18.2,0.18,-2.49
obs_then_wait_ma20_rs20_segment_15d,basket_bull,125,107,184,63.04,70,31,2.74,-15.61,0.18,-66.38
