strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
obs_then_wait_ma20_10d,CPO,40,39,81,72.84,34,17,33.45,-21.35,2.49,-18.98
obs_then_wait_ma20_15d,CPO,40,40,84,70.24,34,17,33.45,-21.35,2.49,-18.98
obs_then_wait_caopan_15d,CPO,40,39,75,66.67,30,15,30.95,-20.29,1.73,-28.0
obs_then_wait_cxhzb_15d,CPO,40,34,65,78.46,31,12,22.94,-15.38,1.72,-30.92
obs_then_wait_rs20_basket_15d,CPO,40,40,85,56.47,30,12,34.32,-20.09,1.38,-26.82
obs_then_wait_rs20_basket_10d,CPO,40,38,79,56.96,29,12,28.64,-17.86,1.38,-26.82
obs_direct,先进封装/封测,80,80,208,71.63,55,59,17.11,-19.34,1.31,14.8
obs_direct_wait0,先进封装/封测,80,80,208,71.63,55,59,17.11,-19.34,1.31,14.8
obs_then_wait_caopan_10d,CPO,40,34,63,65.08,25,14,28.53,-20.29,1.27,-28.89
obs_then_wait_ma20_15d,存储芯片,67,62,141,63.12,47,36,18.04,-16.97,1.25,10.64
obs_then_wait_ma20_5d,CPO,40,34,72,65.28,29,16,17.28,-19.13,1.16,-23.31
obs_then_wait_ma20_cxhzb_15d,半导体材料,20,16,24,100.0,16,11,9.88,-9.7,1.1,2.37
obs_then_wait_rs20_segment_15d,CPO,40,40,82,68.29,28,16,31.59,-22.08,1.04,-13.44
obs_then_wait_ma20_10d,存储芯片,67,61,133,62.41,46,36,17.54,-16.14,1.03,10.64
obs_then_wait_ma20_5d,存储芯片,67,59,123,60.16,44,35,17.54,-15.25,1.03,7.48
obs_direct,CPO,40,40,97,61.86,28,17,18.85,-24.24,1.01,-12.88
obs_direct_wait0,CPO,40,40,97,61.86,28,17,18.85,-24.24,1.01,-12.88
obs_then_wait_rs20_segment_5d,先进封装/封测,80,77,147,71.43,53,57,12.3,-17.37,0.95,12.99
obs_then_wait_muma_10d,先进封装/封测,80,80,204,67.65,53,56,15.33,-19.16,0.94,9.79
obs_then_wait_muma_15d,先进封装/封测,80,80,204,67.65,53,56,15.33,-19.16,0.94,9.79
obs_then_wait_ma20_5d,先进封装/封测,80,76,155,74.19,62,60,16.77,-16.8,0.93,14.13
obs_then_wait_muma_5d,先进封装/封测,80,80,198,68.18,53,56,15.33,-19.16,0.93,9.79
obs_then_wait_rs20_segment_15d,先进封装/封测,80,80,180,70.56,56,61,12.03,-17.48,0.92,13.28
obs_then_wait_muma_10d,CPO,40,40,90,62.22,28,14,19.8,-24.02,0.91,-11.17
obs_then_wait_muma_15d,CPO,40,40,90,62.22,28,14,19.8,-24.02,0.91,-11.17
obs_then_wait_muma_5d,CPO,40,39,87,64.37,28,14,19.8,-22.52,0.91,-10.98
obs_direct,存储芯片,67,62,151,58.28,44,33,14.08,-17.8,0.9,-4.48
obs_direct_wait0,存储芯片,67,62,151,58.28,44,33,14.08,-17.8,0.9,-4.48
obs_then_wait_muma_10d,存储芯片,67,62,153,60.78,44,36,14.08,-17.8,0.9,2.15
obs_then_wait_muma_15d,存储芯片,67,62,153,60.78,44,36,14.08,-17.8,0.9,2.15
obs_then_wait_muma_5d,存储芯片,67,62,147,59.18,43,33,14.08,-17.8,0.9,-4.48
obs_then_wait_cxhzb_15d,半导体材料,20,18,28,85.71,14,9,9.88,-10.0,0.89,-1.96
obs_then_wait_ma20_10d,先进封装/封测,80,80,184,68.48,57,60,14.29,-18.43,0.86,14.66
obs_then_wait_ma20_15d,先进封装/封测,80,80,197,65.48,55,60,14.21,-18.66,0.86,13.48
obs_then_wait_rs20_basket_15d,连接器,40,38,68,67.65,29,28,10.28,-10.57,0.83,6.5
obs_then_wait_caopan_10d,先进封装/封测,80,78,156,69.87,65,61,8.63,-15.04,0.83,11.93
obs_then_wait_rs20_segment_10d,先进封装/封测,80,80,166,68.67,54,59,9.7,-17.48,0.79,12.93
obs_then_wait_rs20_segment_10d,CPO,40,40,80,67.5,27,14,17.28,-22.08,0.78,-27.46
obs_then_wait_rs20_segment_5d,AIPC/端侧AI,40,39,78,62.82,30,32,10.71,-18.96,0.78,17.83
obs_then_wait_muma_5d,液冷/散热,77,77,161,61.49,60,31,14.82,-19.48,0.77,-8.43
obs_then_wait_muma_10d,液冷/散热,77,77,168,58.93,58,28,14.82,-22.59,0.72,-11.17
obs_then_wait_muma_15d,液冷/散热,77,77,168,58.93,58,28,14.82,-22.59,0.72,-11.17
obs_then_wait_ma20_rs20_segment_5d,先进封装/封测,80,67,97,80.41,50,58,7.46,-10.54,0.72,13.02
obs_then_wait_ma20_rs20_segment_10d,先进封装/封测,80,77,127,70.87,54,57,9.23,-14.64,0.71,12.09
obs_direct,液冷/散热,77,77,175,58.86,63,30,15.56,-23.19,0.7,-7.44
obs_direct_wait0,液冷/散热,77,77,175,58.86,63,30,15.56,-23.19,0.7,-7.44
obs_then_wait_caopan_15d,服务器电源,60,60,111,57.66,40,35,13.59,-20.25,0.69,6.98
obs_then_wait_caopan_15d,PCB,66,62,105,57.14,43,22,9.08,-12.73,0.69,-37.83
obs_then_wait_rs20_basket_15d,算力芯片/GPU/CPU设计,40,40,82,46.34,26,29,6.95,-22.46,0.69,20.42
obs_then_wait_ma20_rs20_segment_15d,先进封装/封测,80,78,158,65.19,51,57,9.73,-16.62,0.67,11.07
obs_then_wait_rs20_segment_15d,液冷/散热,77,75,160,59.37,51,32,17.68,-22.84,0.66,-9.96
obs_then_wait_ma20_rs20_segment_5d,AIPC/端侧AI,40,34,53,73.58,30,33,9.25,-11.72,0.66,20.58
obs_then_wait_rs20_segment_15d,服务器电源,60,59,123,52.85,36,27,13.88,-20.38,0.65,-4.65
obs_then_wait_ma20_15d,PCB,66,63,124,47.58,43,26,9.63,-15.14,0.65,-34.62
obs_then_wait_ma20_10d,液冷/散热,77,77,159,61.01,62,32,13.61,-21.49,0.64,-8.39
obs_then_wait_ma20_15d,液冷/散热,77,77,165,60.61,64,32,13.61,-21.95,0.64,-6.26
obs_then_wait_rs20_basket_10d,连接器,40,35,63,65.08,24,26,6.38,-9.66,0.63,6.44
obs_then_wait_rs20_basket_10d,算力芯片/GPU/CPU设计,40,40,67,52.24,27,30,6.23,-15.07,0.62,20.72
obs_then_wait_rs20_basket_5d,光模块,100,91,142,61.27,65,28,11.82,-17.05,0.59,-64.25
obs_then_wait_caopan_15d,先进封装/封测,80,80,173,64.74,58,60,7.71,-16.23,0.58,10.54
obs_then_wait_muma_10d,服务器电源,60,59,145,58.62,39,25,12.96,-22.79,0.56,-9.13
obs_then_wait_muma_15d,服务器电源,60,59,145,58.62,39,25,12.96,-22.79,0.56,-9.13
obs_then_wait_ma20_5d,液冷/散热,77,76,143,60.84,56,31,11.24,-21.49,0.56,-9.01
obs_then_wait_cxhzb_15d,先进封装/封测,80,77,150,57.33,54,51,6.62,-15.89,0.55,8.33
obs_then_wait_ma20_15d,光模块,100,95,206,53.88,60,31,10.48,-18.12,0.54,-44.33
obs_then_wait_muma_5d,服务器电源,60,59,145,58.62,39,25,12.82,-22.79,0.53,-9.13
obs_then_wait_ma20_10d,服务器电源,60,58,132,62.88,41,27,9.42,-21.55,0.53,-10.16
obs_then_wait_ma20_15d,服务器电源,60,59,135,61.48,41,27,9.42,-21.55,0.53,-10.16
obs_direct,AI服务器,80,80,187,54.01,49,35,9.37,-19.48,0.53,-4.21
obs_direct_wait0,AI服务器,80,80,187,54.01,49,35,9.37,-19.48,0.53,-4.21
obs_then_wait_rs20_segment_5d,CPO,40,37,69,62.32,26,12,17.28,-22.08,0.52,-32.11
obs_then_wait_rs20_segment_10d,服务器电源,60,55,111,50.45,33,24,9.52,-19.65,0.52,-11.86
obs_then_wait_muma_10d,覆铜板CCL,60,56,125,65.6,36,30,6.87,-16.02,0.52,-0.28
obs_then_wait_muma_15d,覆铜板CCL,60,56,125,65.6,36,30,6.87,-16.02,0.52,-0.28
obs_then_wait_rs20_basket_15d,光模块,100,93,171,59.65,65,27,9.66,-20.59,0.5,-59.58
obs_then_wait_rs20_segment_10d,光模块,100,88,158,54.43,59,28,16.75,-19.8,0.49,-46.38
obs_then_wait_rs20_segment_15d,光模块,100,88,178,55.06,58,28,16.75,-21.26,0.49,-46.38
obs_then_wait_ma20_10d,PCB,66,60,119,45.38,42,24,8.94,-15.14,0.49,-35.61
obs_then_wait_ma20_5d,PCB,66,60,111,48.65,42,25,8.94,-14.88,0.49,-35.61
obs_then_wait_ma20_5d,交换机/网络设备,66,63,137,61.31,41,36,8.77,-17.23,0.49,3.68
obs_then_wait_muma_10d,PCB,66,64,131,44.27,39,22,8.45,-15.31,0.49,-30.39
obs_then_wait_muma_15d,PCB,66,64,131,44.27,39,22,8.45,-15.31,0.49,-30.39
obs_then_wait_muma_5d,PCB,66,64,128,42.97,39,22,8.45,-15.31,0.49,-30.39
obs_then_wait_muma_5d,算力芯片/GPU/CPU设计,40,40,106,54.72,26,31,11.18,-22.72,0.48,17.35
obs_then_wait_muma_10d,算力芯片/GPU/CPU设计,40,40,108,53.7,26,31,11.15,-22.72,0.48,16.8
obs_then_wait_muma_15d,算力芯片/GPU/CPU设计,40,40,108,53.7,26,31,11.15,-22.72,0.48,16.8
obs_then_wait_ma20_rs20_segment_10d,AIPC/端侧AI,40,35,66,59.09,27,33,6.5,-13.58,0.48,18.84
obs_then_wait_ma20_10d,算力芯片/GPU/CPU设计,40,40,97,60.83,23,36,7.2,-17.14,0.47,20.1
obs_then_wait_cxhzb_10d,先进封装/封测,80,61,98,64.29,49,51,5.72,-11.75,0.47,8.27
obs_direct,光模块,100,95,213,53.52,62,33,13.64,-22.79,0.46,-41.75
obs_direct_wait0,光模块,100,95,213,53.52,62,33,13.64,-22.79,0.46,-41.75
obs_then_wait_ma20_rs20_segment_10d,PCB,66,55,72,59.72,41,21,11.16,-12.31,0.45,-33.97
obs_direct,高速铜缆/铜连接,80,79,177,59.32,52,38,9.96,-21.46,0.45,-0.99
obs_direct_wait0,高速铜缆/铜连接,80,79,177,59.32,52,38,9.96,-21.46,0.45,-0.99
obs_direct,服务器电源,60,59,146,56.16,38,27,12.46,-25.09,0.44,-9.19
obs_direct_wait0,服务器电源,60,59,146,56.16,38,27,12.46,-25.09,0.44,-9.19
obs_then_wait_muma_10d,AI服务器,80,80,183,51.91,53,35,7.43,-19.44,0.44,-5.87
obs_then_wait_muma_15d,AI服务器,80,80,183,51.91,53,35,7.43,-19.48,0.44,-5.87
obs_then_wait_ma20_rs20_segment_15d,CPO,40,33,63,66.67,24,14,11.55,-16.33,0.43,-25.55
obs_then_wait_ma20_rs20_segment_10d,CPO,40,31,58,68.97,24,14,9.41,-16.33,0.43,-28.41
obs_then_wait_caopan_5d,CPO,40,29,53,64.15,21,14,8.71,-19.71,0.43,-27.94
obs_then_wait_rs20_segment_10d,PCB,66,60,92,53.26,40,23,7.45,-13.18,0.43,-43.41
obs_direct,覆铜板CCL,60,56,130,62.31,35,33,6.75,-15.73,0.43,1.55
obs_direct_wait0,覆铜板CCL,60,56,130,62.31,35,33,6.75,-15.73,0.43,1.55
obs_then_wait_ma20_15d,AI服务器,80,80,176,53.41,51,32,6.18,-17.7,0.43,-9.63
obs_then_wait_ma20_15d,连接器,40,40,78,55.13,23,19,4.51,-12.22,0.43,-0.96
obs_then_wait_caopan_10d,HBM,40,37,66,68.18,23,18,3.21,-16.27,0.43,-2.88
obs_then_wait_muma_5d,AI服务器,80,77,173,49.71,53,36,7.39,-19.44,0.42,-5.32
obs_then_wait_caopan_5d,先进封装/封测,80,56,85,72.94,49,54,3.75,-10.98,0.42,9.06
obs_then_wait_rs20_basket_10d,AI服务器,80,76,135,54.07,46,37,3.72,-16.3,0.42,-3.9
obs_then_wait_rs20_basket_15d,AI服务器,80,76,144,50.69,46,36,3.72,-17.71,0.42,-4.4
obs_then_wait_ma20_10d,光模块,100,94,197,53.3,58,30,8.16,-17.88,0.41,-44.33
obs_then_wait_ma20_rs20_segment_15d,算力芯片/GPU/CPU设计,40,37,69,55.07,23,26,4.48,-16.74,0.4,7.77
obs_then_wait_ma20_rs20_segment_10d,交换机/网络设备,66,62,106,54.72,41,31,4.27,-14.95,0.4,-4.67
obs_then_wait_ma20_10d,交换机/网络设备,66,66,151,58.94,38,38,8.77,-17.68,0.39,5.07
obs_then_wait_ma20_15d,交换机/网络设备,66,66,155,58.06,37,37,8.77,-17.68,0.39,3.68
obs_then_wait_rs20_segment_15d,算力/IDC/算力租赁,80,80,178,52.81,48,30,6.88,-20.82,0.39,-6.78
obs_then_wait_caopan_10d,液冷/散热,77,71,133,63.16,49,29,7.32,-20.62,0.38,-14.48
obs_then_wait_ma20_rs20_segment_15d,交换机/网络设备,66,63,110,53.64,40,31,5.25,-16.45,0.38,-1.97
obs_then_wait_rs20_segment_10d,液冷/散热,77,71,136,58.09,52,30,14.99,-22.47,0.37,-14.67
obs_then_wait_rs20_segment_10d,存储芯片,67,57,106,56.6,38,27,5.64,-15.59,0.37,-4.8
