strategy,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh,enough_trades
obs_then_wait_muma_10d,1176,1154,2770,55.16,718,564,7.5,-20.17,0.41,-1.65,True
obs_then_wait_muma_15d,1176,1154,2773,55.21,720,564,7.46,-20.17,0.41,-1.65,True
obs_then_wait_ma20_15d,1176,1153,2647,56.1,737,589,6.86,-19.02,0.41,0.06,True
obs_then_wait_muma_5d,1176,1140,2667,55.12,715,561,7.12,-19.67,0.39,-1.85,True
obs_then_wait_ma20_10d,1176,1131,2535,56.17,729,589,6.72,-18.66,0.38,0.06,True
obs_then_wait_ma20_5d,1176,1089,2248,57.12,724,581,6.18,-17.26,0.36,-0.72,True
obs_direct,1176,1154,2800,55.0,720,580,7.11,-21.39,0.35,-0.51,True
obs_direct_wait0,1176,1154,2800,55.0,720,580,7.11,-21.39,0.35,-0.51,True
obs_then_wait_caopan_15d,1176,1127,2252,55.24,693,567,3.94,-17.01,0.24,-1.46,True
obs_then_wait_rs20_segment_10d,1176,1106,2179,54.89,682,533,4.59,-18.24,0.23,-3.88,True
obs_then_wait_rs20_segment_15d,1176,1125,2383,54.72,674,539,4.39,-19.29,0.22,-3.58,True
obs_then_wait_ma20_rs20_segment_15d,1176,1088,2112,53.84,645,531,2.77,-17.02,0.13,-4.09,True
obs_then_wait_caopan_10d,1176,1059,1965,55.57,654,557,2.29,-15.95,0.11,-2.92,True
obs_then_wait_rs20_basket_15d,1176,1110,2200,51.77,642,547,2.44,-18.52,0.1,-3.69,True
obs_then_wait_rs20_segment_5d,1176,1041,1847,55.5,640,530,2.17,-17.01,0.09,-3.84,True
obs_then_wait_ma20_rs20_segment_10d,1176,1033,1832,54.64,639,534,2.02,-15.89,0.07,-4.36,True
obs_then_wait_rs20_basket_10d,1176,1060,1949,53.31,626,555,1.6,-16.95,0.07,-2.77,True
obs_then_wait_cxhzb_15d,1176,1081,2048,48.19,601,494,0.47,-16.55,0.0,-6.77,True
obs_then_wait_rs20_basket_5d,1176,962,1541,53.99,577,537,0.0,-14.23,0.0,-3.9,True
obs_then_wait_caopan_5d,1176,864,1266,54.5,526,539,0.0,-12.05,0.0,-5.08,True
obs_then_wait_ma20_rs20_segment_5d,1176,896,1353,56.32,575,524,0.0,-12.38,0.0,-5.32,True
obs_then_wait_ma20_cxhzb_10d,1176,777,1091,51.51,465,513,0.0,-10.96,0.0,-6.12,True
obs_then_wait_cxhzb_10d,1176,843,1243,49.88,489,503,0.0,-12.39,0.0,-6.77,True
obs_then_wait_ma20_cxhzb_15d,1176,1054,1888,48.41,580,493,0.0,-15.59,0.0,-6.83,True
obs_then_wait_cxhzb_5d,1176,459,557,57.09,295,494,0.0,0.0,0.0,-6.86,True
obs_then_wait_ma20_cxhzb_5d,1176,382,438,57.31,241,495,0.0,0.0,0.0,-7.42,True
obs_then_wait_ma20_cxhzb_rs20_segment_10d,1176,600,754,50.93,353,503,0.0,-7.0,0.0,-7.46,True
obs_then_wait_ma20_cxhzb_rs20_segment_15d,1176,886,1385,47.44,457,488,0.0,-12.79,0.0,-7.83,True
obs_then_wait_ma20_cxhzb_rs20_segment_5d,1176,243,264,55.3,153,488,0.0,0.0,0.0,-8.84,True
obs_then_wait_healthy_midtrend_cxhzb_10d,1176,161,173,54.91,92,465,0.0,0.0,0.0,-11.01,True
obs_then_wait_healthy_midtrend_cxhzb_15d,1176,459,551,45.92,228,460,0.0,0.0,0.0,-12.2,True
obs_then_wait_healthy_midtrend_cxhzb_5d,1176,24,24,50.0,13,470,0.0,0.0,0.0,-11.46,False
